SiteID,City,N_Residents,N_Residents_0-10,N_Residents_10-25,N_Residents_25-40,N_Residents_40-60,N_Residents_Over60,IrrigationType,MeterBrand,MeterSize,MeterResolution,City_SiteID,N_Bathrooms,Own_Rent,Legal_Acreage_SqFt,YearBuilt,Building_Sq_Ft,ZipCode,UserPercentile_City_LastYear,MonthlyAverageWinter,MonthlyAverageSummer,Irr_Area,Site,EventCount,LabelCardinality,MeanDuration,MedianDuration,MeanVolume,TotalVolume,MeanFlowRate,QCRecordWeeks_Paper,Occupants_Paper,IrrigableArea_m2_Paper,BuildingArea_m2_Paper,IrrigationMode_Paper,PulseResolution_L_per_pulse_Paper,AnnualAverageWaterUse_m3_Paper,RawRows,RawStart,RawEnd,DaysCovered,TotalPulses,MeanPulses,ZeroFraction,NonZeroFraction,MaxPulses,IrregularIntervals,EstimatedMissingSteps,LogPeriods,LogStart,LogEnd,MeanPercentErrorVol,MeanPercentErrorCount
12,Logan,2,0,0,0,0,2,SprinklerSystem,Neptune,1.0,0.033196,13252,1.5,Own,14810,1900,1680,84321,12.3,2.07,7.43,,12,7611,6,0.3639118820254894,0.066666667,0.9052114350282485,6889.564232,0.8696680957663907,9.9,2,1744.0,156.0,Sprinkler system,0.1257,181.2,1491304,2019-08-30 08:23:00,2020-08-04 09:46:57,340.0582986111111,207573.0,0.139188924592169,0.9740053000595452,0.025994699940454797,35.0,112,5854010,7,2019-08-30 08:23:00,2020-08-04 09:47:00,-9.322109524612978,-6.6845075135138945
13,Logan,2,0,0,0,0,2,SprinklerSystem,Neptune,1.0,0.033196,6703,1.5,Own,9150,2010,2570,84341,97.5,4.82,65.1,,13,47524,7,0.33209606403795977,0.066666667,0.7808862359229021,37110.837476,0.5826462611167621,7.8,2,742.0,239.0,Sprinkler system,0.1257,1507.5,1171837,2019-08-30 09:13:19,2020-07-02 11:39:00,307.10116898148146,1117809.0,0.9538946116226062,0.8419498616275131,0.15805013837248696,76.0,6,5461548,6,2019-08-30 09:11:00,2020-07-02 11:39:00,-0.550090944235373,-2.2952926772415645
14,Logan,2,0,0,0,2,0,SprinklerSystem,Neptune,1.0,0.033196,9327,1.5,Own,18300,1995,3390,84321,90.5,3.12,47.6,,14,4085,7,2.289710322422032,0.266666667,21.678328842105266,88555.97332,1.0403523365701346,10.4,2,2005.0,315.0,Sprinkler system,0.1257,1099.8,1579538,2019-08-30 10:14:44,2020-08-04 08:42:59,339.93628472222224,2667783.0,1.6889641148234484,0.9215739032552557,0.07842609674474435,61.0,57,5763113,8,2019-08-30 09:57:00,2020-08-04 08:43:00,0.06630271848284917,-8.689212394043741
15,Logan,6,4,0,2,0,0,SprinklerSystem,Neptune,1.0,0.033196,623,1.5,Rent,5230,2015,1840,84321,45.4,2.9,16.5,,15,10625,7,0.366431372730447,0.066666667,0.6470611184941176,6875.024384,0.8178841184211765,9.0,6,405.0,171.0,Sprinkler system,0.1257,392.2,1355637,2019-09-19 15:06:26,2020-06-28 05:53:40,282.61613425925924,207227.0,0.15286319272784676,0.9587168246366837,0.041283175363316285,69.0,122,4748930,6,2019-09-19 15:05:00,2020-07-02 08:38:00,-0.08070206571650018,-3.4664414235576846
16,Logan,3,0,0,3,0,0,Hose,Neptune,,0.008699,9090,3.0,Own,12630,1925,1620,84321,37.7,2.62,10.2,,16,7091,6,1.745442579846425,0.133333333,1.943605142857143,13782.104068,0.6033065622168947,7.4,3,1162.0,151.0,Hose,0.0329,247.4,1124821,2019-10-04 12:08:03,2020-07-01 19:48:59,271.3200925925926,1584840.0,1.4089708495840672,0.8580778630555439,0.14192213694445605,44.0,87,4735732,6,2019-10-04 12:08:00,2020-07-02 12:25:00,-16.157076883116968,-17.11119882545348
17,Logan,3,0,0,1,2,0,Hose,Neptune,,0.008699,7636,1.0,Own,13070,1945,990,84321,38.0,3.83,14.0,,17,10812,6,0.48647798759064004,0.066666667,0.7882386604698483,8522.436397,0.6012235714371069,8.5,3,1451.0,92.0,Hose,0.0329,341.0,1288094,2019-09-20 09:06:12,2020-07-02 11:23:57,286.0956597222222,980549.0,0.7612402510996868,0.9450886348356564,0.0549113651643436,72.0,8,4891574,7,2019-09-20 09:00:00,2020-07-02 11:24:00,-0.43863933501481644,-3.8210316044524113
18,Logan,1,0,0,0,1,0,Hose,Neptune,,0.008699,8849,1.0,Own,4790,1950,800,84321,13.6,2.65,9.58,,18,5808,7,0.979671717421832,0.066666667,2.5000833138774103,14520.483887,0.25337033677427684,8.7,1,410.0,74.0,Hose,0.0329,233.5,1317810,2019-10-09 15:01:14,2020-08-04 10:22:00,299.806087962963,1669273.0,1.2667023318991357,0.9418709829186301,0.058129017081369846,77.0,5,5158002,7,2019-10-09 13:56:00,2020-08-04 10:22:00,0.3925862716865818,-0.1409048985723382
19,Providence,5,0,3,0,2,0,SprinklerSystem,MasterMeter,1.0,0.041619,730,3.0,Own,12200,2005,1380,84332,50.7,4.94,36.3,,19,18679,7,1.2783625104841443,0.2,7.348873978050217,137269.617036,1.2883927913879394,23.1,5,982.0,128.0,Sprinkler system,0.1575,854.1,3492373,2019-09-20 14:20:45,2021-02-09 14:24:59,508.0029398148148,3298750.0,0.9445583275325975,0.903253747523532,0.09674625247646801,67.0,103,7480534,19,2019-09-20 09:43:00,2021-02-09 14:25:00,-0.6958506063470173,-0.9924819290084245
20,Providence,2,0,0,0,2,0,SprinklerSystem,MasterMeter,1.0,0.041619,599,3.0,Own,15680,2005,1900,84332,72.8,4.11,40.4,,20,5852,7,0.6465595809530075,0.066666667,3.3194352867395764,19425.335298,1.1174248491628502,5.2,4,1202.0,177.0,Sprinkler system,0.1575,942.2,781644,2019-10-14 12:05:44,2020-07-02 09:37:59,261.89739583333335,466823.0,0.5972322438347892,0.9300666287977647,0.06993337120223529,43.0,22,4875351,3,2019-10-14 12:03:00,2020-07-02 09:38:00,0.10026724833488926,-0.11578323260637534
21,Providence,6,1,3,0,2,0,SprinklerSystem,MasterMeter,1.0,0.041619,2030,3.0,Own,13070,2005,1300,84332,,,,,21,11968,7,0.5926860518355614,0.2,1.143983483873663,13691.194335,0.9815488698091578,6.8,6,,,Sprinkler system,0.1575,,1021027,2019-10-14 12:41:27,2020-07-02 10:35:58,261.9128587962963,329198.0,0.3224185060728071,0.9034570094620417,0.09654299053795835,17.0,4,4636291,5,2019-10-14 12:41:00,2020-07-02 10:36:00,0.002636794929720221,-0.01170472442995384
