DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-10-28 14:39:00,2019-11-06 14:48:00,2243.7999999999884,2255.680575,0.5294845797313292,194535.0,194535,0.0,No
2,2019-11-06 14:48:00,2019-11-14 10:37:00,1951.100000000035,1951.0890749999999,-0.0005599405481553113,169035.0,169009,-0.015381429881385512,No
3,2019-11-14 10:37:00,2019-11-25 11:45:00,2806.0,2830.4889749999998,0.8727361012116805,238620.0,238642,0.009219679825664236,No
4,2020-06-12 13:45:00,2020-07-02 10:10:00,35111.5,34791.951375,-0.9100967631687712,428775.0,415531,-3.0887994869103843,Yes
