DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-10-14 12:03:00,2019-10-25 09:04:00,1329.5,1331.516667,0.15168612260248948,234915.0,234875,-0.017027435455377476,No
2,2019-10-25 09:04:00,2019-11-06 16:46:00,1981.7000000000698,1984.0609680000002,0.1191385174310086,266130.0,265284,-0.3178897531281704,No
3,2020-06-19 08:50:00,2020-07-02 09:38:00,16108.29999999993,16113.128802000001,0.029977104971169878,281520.0,281485,-0.012432509235578289,Yes
