DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-08-30 08:23:00,2019-09-06 12:03:00,2603.9000000000233,2603.7946519999996,-0.004045777488524712,154500.0,154471,-0.018770226537216828,Yes
2,2019-09-06 12:03:00,2019-09-30 13:21:00,1196.0999999999767,1207.5044999999998,0.9534737898188517,519570.0,519543,-0.0051966048848085915,Yes
3,2019-09-30 13:21:00,2019-10-09 11:10:00,396.9000000000233,139.15763199999998,-64.93886822877505,192435.0,102516,-46.72694676124406,Yes
4,2019-10-09 11:10:00,2019-10-18 14:41:00,437.5,427.92963599999996,-2.1875117714285808,197565.0,197506,-0.029863589198491636,No
5,2019-10-18 14:41:00,2019-10-25 10:00:00,199.59999999997672,199.90631199999999,0.15346292586337895,146985.0,146975,-0.0068034153144878725,No
6,2019-10-25 10:00:00,2019-10-28 13:46:00,219.0,219.12679599999998,0.057897716894970135,68190.0,68190,0.0,No
7,2020-07-21 10:06:00,2020-08-04 09:47:00,2078.4000000000233,2093.1737799999996,0.7108246728241039,302115.0,302103,-0.003971997418201678,Yes
