DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-09-19 15:05:00,2019-09-30 14:02:00,1354.4899999999907,1354.5627799999997,0.005373240113183674,236655.0,236621,-0.01436690541083011,Yes
2,2019-10-09 10:18:00,2019-10-18 15:37:00,933.4499999999534,933.7038919999999,0.027199314376395233,199185.0,199052,-0.06677209629239149,No
3,2019-10-18 15:37:00,2019-10-25 09:30:00,1064.5899999999674,1065.9567559999998,0.1283833212816626,145695.0,145742,0.0322591715570198,No
4,2019-10-25 09:30:00,2019-11-06 16:14:00,1240.0,1240.1361679999998,0.010981290322562134,265260.0,265258,-0.0007539772298876574,No
5,2019-11-06 16:14:00,2019-11-14 11:55:00,852.3800000000047,851.5769879999999,-0.094208216992977,168915.0,168890,-0.014800343367966137,No
6,2020-06-12 11:56:00,2020-07-02 08:38:00,1441.2700000000186,1433.1709079999998,-0.5619413433998276,429030.0,340074,-20.734214390602055,Yes
