DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-10-04 12:08:00,2019-10-09 13:04:00,372.69999999995343,375.935984,0.8682543600877353,108840.0,108822,-0.016538037486218304,No
2,2019-10-09 13:04:00,2019-10-18 15:55:00,397.9000000000233,401.80681,0.9818572505595559,196965.0,197003,0.019292767750615593,No
3,2019-10-18 15:55:00,2019-10-25 10:48:00,311.0999999999767,313.259689,0.6942105432412167,146595.0,146586,-0.006139363552645043,No
4,2019-10-25 10:48:00,2019-11-07 11:20:00,1351.4000000000233,501.880106,-62.86220911647244,281280.0,141682,-49.62955062571103,No
5,2019-11-15 01:48:00,2019-11-25 15:43:00,1131.8999999999069,725.7749680000001,-35.87993921724006,228525.0,115264,-49.56175473142982,No
6,2020-06-12 14:11:00,2020-07-02 12:25:00,11553.900000000023,11467.865603,-0.7446351188778068,430410.0,415464,-3.4725029622917685,Yes
