DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-09-20 09:43:00,2019-09-30 14:14:00,5648.399999999907,5650.278678000001,0.03326035691689231,220065.0,215896,-1.8944402790084747,Yes
2,2019-09-30 14:14:00,2019-10-04 13:08:00,676.6000000000931,678.6394140000001,0.30142092815647187,85410.0,85398,-0.014049877063575694,Yes
3,2019-10-04 13:08:00,2019-10-04 13:36:00,160.89999999990687,160.899054,-0.0005879427637424543,420.0,420,0.0,No
4,2019-10-04 13:36:00,2019-10-09 10:00:00,1043.8000000000466,1046.71785,0.27954109982307934,104760.0,104760,0.0,No
5,2019-10-09 10:00:00,2019-10-15 14:53:00,1196.0,1199.584437,0.29970209030100164,133995.0,133984,-0.008209261539609687,No
6,2019-11-06 15:29:00,2019-11-14 11:28:00,1261.3999999999069,1271.710164,0.8173588076814627,169185.0,169108,-0.045512309010846116,No
7,2019-11-14 11:28:00,2019-11-25 13:38:00,1986.3999999999069,1993.383624,0.3515718888488479,239550.0,239540,-0.004174493842621582,No
8,2019-11-25 13:38:00,2019-12-04 14:55:00,913.2000000001863,916.075809,0.3149155715958386,195555.0,195540,-0.007670476336580502,No
9,2020-06-12 12:43:00,2020-07-02 09:28:00,27448.200000000186,23176.206054000002,-15.563840055086144,429075.0,372541,-13.175785119151664,Yes
10,2020-07-21 09:53:00,2020-07-27 15:06:00,10892.09999999986,10881.953454,-0.09315509405771166,134295.0,134295,0.0,Yes
11,2020-07-27 15:06:00,2020-08-04 09:30:00,13690.600000000093,13679.083206000001,-0.08412190846341211,167760.0,167568,-0.11444921316165951,Yes
12,2020-08-04 09:30:00,2020-08-12 08:40:00,14422.100000000093,14316.561429000001,-0.7317836584137624,172050.0,171989,-0.03545480964835804,Yes
13,2020-08-12 08:40:00,2020-08-28 09:05:00,28499.59999999986,28476.219228,-0.08203894791456255,345975.0,345897,-0.022544981573813138,Yes
14,2020-08-28 09:05:00,2020-09-15 09:24:00,25023.800000000047,24996.288162,-0.10994268656257554,389085.0,377193,-3.056401557500289,Yes
15,2020-09-15 09:24:00,2020-09-17 09:23:00,3204.600000000093,3194.0501550000004,-0.3292094177149244,43185.0,43185,0.0,Yes
16,2021-01-06 13:16:00,2021-01-13 15:37:00,1082.2999999998137,1083.9668550000001,0.15401044074532705,153315.0,152995,-0.2087206078987705,No
17,2021-01-13 15:37:00,2021-01-14 14:18:00,158.60000000009313,158.94296100000003,0.21624274899539192,20415.0,20360,-0.26940974773450893,No
18,2021-01-14 14:18:00,2021-01-28 11:03:00,2484.0,2499.304188,0.6161106280193264,299475.0,299474,-0.0003339176892895901,No
19,2021-01-28 11:03:00,2021-02-09 14:25:00,1903.3999999999069,1910.8115280000002,0.38938362929986736,262230.0,262230,0.0,No
