DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-10-15 15:06:00,2019-10-18 15:00:00,363.0,364.665678,0.4588644628099212,64710.0,64685,-0.038633905115129034,No
2,2019-10-18 15:00:00,2019-10-25 08:39:00,919.5999999999767,920.9868510000001,0.15081024358671524,145485.0,145488,0.0020620682544592226,No
3,2019-11-14 11:07:00,2019-11-25 13:01:00,1494.0999999999767,1495.162575,0.07111806438815076,239310.0,239226,-0.03510091513100163,No
4,2020-06-12 12:22:00,2020-07-02 09:04:00,25474.0,22737.708270000003,-10.741507929653753,429030.0,411105,-4.178029508425984,Yes
