DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-08-20 15:39:00,2019-08-30 11:19:00,1887.2000000000698,1877.7649359999998,-0.49995040271670693,212100.0,212066,-0.01603017444601603,Yes
2,2019-11-14 10:16:00,2019-11-25 11:36:00,1216.0,1218.226808,0.18312565789472793,238800.0,238762,-0.015912897822445562,No
3,2019-11-25 11:36:00,2019-12-04 14:26:00,1085.0,1077.110612,-0.7271325345622169,196950.0,196964,0.007108403148007108,No
4,2020-06-19 09:41:00,2020-07-02 12:44:00,2245.1999999999534,2246.107752,0.04043078567817906,283545.0,283533,-0.004232132465746178,Yes
