DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-11-14 10:47:00,2019-11-25 12:26:00,2933.3000000002794,2959.647975,0.8982366276793357,239085.0,239069,-0.006692180605224083,No
2,2019-11-25 12:26:00,2019-12-04 14:35:00,2152.7999999998137,2164.760775,0.5555915551926558,196335.0,196315,-0.010186670741334964,No
3,2019-12-04 14:35:00,2019-12-13 11:20:00,2035.2000000001863,2052.738225,0.8617445459813378,191475.0,191453,-0.011489750620185403,No
4,2020-06-12 13:21:00,2020-07-02 10:17:00,73139.90000000037,71141.006025,-2.732973349704289,429240.0,379675,-11.54715310781847,Yes
