DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-07-11 09:39:00,2019-07-17 11:21:00,1703.7999999999884,1704.9797559999997,0.06924263411265257,131130.0,131123,-0.005338213986120644,Yes
2,2019-07-17 11:21:00,2019-07-22 15:31:00,937.5,937.8865879999998,0.04123605333331701,111750.0,111741,-0.008053691275167786,Yes
3,2019-07-22 15:31:00,2019-08-06 14:11:00,2063.5999999999767,2064.724808,0.05450707501566364,322800.0,322784,-0.004956629491945477,Yes
4,2019-08-06 14:11:00,2019-08-16 10:56:00,996.2000000000116,994.2865919999999,-0.19207066854162733,213075.0,213061,-0.006570456412061481,Yes
5,2019-08-16 10:56:00,2019-08-30 12:33:00,1586.600000000035,1600.9766879999997,0.906131854277354,303855.0,303898,0.014151486728867388,Yes
6,2019-08-30 12:33:00,2019-09-16 13:19:00,1643.5999999999767,1645.02778,0.08686906790114363,367890.0,367820,-0.0190274266764522,Yes
7,2019-09-16 13:19:00,2019-09-30 12:44:00,1620.7999999999884,1622.9524399999998,0.132801085884221,301875.0,301816,-0.019544513457556936,Yes
8,2019-10-09 11:32:00,2019-10-14 13:58:00,785.0999999999767,786.0480839999999,0.12075964845538334,110190.0,110176,-0.012705327162174426,No
9,2019-10-14 13:58:00,2019-10-18 14:16:00,376.5,377.63769599999995,0.3021768924302652,86670.0,86568,-0.11768778123918311,No
10,2019-10-18 14:16:00,2019-10-25 10:10:00,710.2999999999884,711.257496,0.13480163311440288,147510.0,147500,-0.006779201410073894,No
11,2019-10-25 10:10:00,2019-11-06 16:51:00,1425.8000000000466,1427.361608,0.10952503857156093,265215.0,265230,0.005655788699734178,No
12,2019-11-06 16:51:00,2019-11-15 02:11:00,886.1999999999534,853.834316,-3.652187316627758,181200.0,181185,-0.008278145695364239,No
