DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-11-08 11:09:00,2019-11-14 10:57:00,2022.3999999999069,2024.1816840000001,0.08809750791600802,129420.0,129420,0.0,No
2,2019-11-14 10:57:00,2019-11-25 12:38:00,3683.600000000093,2256.498942,-38.742020251929006,239115.0,146599,-38.69100641950526,No
3,2019-12-04 14:45:00,2019-12-13 11:27:00,2962.0,2958.5698530000004,-0.1158050979068055,191430.0,191315,-0.06007417855090633,No
4,2020-07-21 09:26:00,2021-08-04 09:09:00,23348.600000000093,22751.276064,-2.558285875813065,8186145.0,280576,-96.57255032741297,Yes
