DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-08-20 14:10:00,2019-08-30 12:53:00,7015.09999999986,6803.487004,-3.016535701556142,214845.0,214841,-0.0018618073494845121,Yes
2,2019-08-30 12:53:00,2019-09-19 13:44:00,11110.200000000186,11419.191627999999,2.7811527065201997,432765.0,432811,0.010629325384446523,Yes
3,2020-03-17 15:19:00,2020-03-27 11:28:00,1581.3000000000466,1580.9926959999998,-0.01943363056009365,212535.0,212496,-0.018349918836897454,No
4,2020-03-27 11:28:00,2020-04-07 12:27:00,1679.0999999998603,1681.1782239999998,0.12377011495084533,238485.0,238466,-0.007966958089607313,No
5,2020-07-21 10:32:00,2020-08-04 10:09:00,22734.199999999953,22618.891303999997,-0.5072036667221923,302055.0,302002,-0.017546473324394563,Yes
