DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-08-22 10:48:00,2019-08-30 13:01:00,4190.900000000023,4173.766275999999,-0.40883161134896584,174795.0,174795,0.0,Yes
2,2019-08-30 13:01:00,2019-09-16 13:50:00,5894.900000000023,5918.5812319999995,0.40172406656561044,367935.0,367922,-0.003533232772092897,Yes
3,2019-09-16 13:50:00,2019-09-30 11:55:00,1501.1999999999534,1492.7245319999997,-0.5645795363678371,300675.0,300606,-0.022948366176103765,Yes
4,2019-09-30 11:55:00,2019-10-09 12:12:00,1040.0999999999767,1048.528856,0.8103890010598381,194655.0,194630,-0.012843235467879069,Yes
5,2019-10-09 12:12:00,2019-10-14 14:27:00,788.5999999999767,786.280456,-0.2941344154167927,110025.0,110007,-0.016359918200409,No
6,2020-03-17 15:27:00,2020-03-27 11:37:00,1200.3000000000466,1200.6661239999999,0.030502707652526363,212550.0,212521,-0.013643848506233828,No
7,2020-03-27 11:37:00,2020-04-07 12:37:00,1531.6999999999534,1534.2859239999998,0.1688270549093452,238500.0,238482,-0.007547169811320755,No
8,2020-06-19 10:15:00,2020-07-02 11:48:00,4895.599999999977,4908.460147999999,0.26268788299743756,282195.0,282149,-0.016300784918230303,Yes
