DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-08-30 09:57:00,2019-08-30 10:23:00,3.6199999999953434,3.5851679999999995,-0.962209944623998,390.0,119,-69.48717948717949,Yes
2,2019-08-30 10:23:00,2019-09-16 12:56:00,28904.28,28877.399575999996,-0.09299807502557642,369495.0,369492,-0.0008119189704867455,Yes
3,2019-09-16 12:56:00,2019-09-30 15:09:00,18779.699999999983,18785.715987999996,0.03203452664320386,304395.0,304389,-0.0019711230473562313,Yes
4,2019-09-30 15:09:00,2019-10-09 13:34:00,627.4900000000489,629.1969839999999,0.2720336578990744,192975.0,192968,-0.0036274128773157144,Yes
5,2019-10-09 13:34:00,2019-10-18 16:11:00,508.3099999999977,510.42169599999994,0.41543467569047987,196755.0,196755,0.0,No
6,2019-10-18 16:11:00,2019-10-25 11:04:00,533.1499999999651,534.4224039999999,0.23865778862138665,146595.0,146583,-0.00818581807019339,No
7,2019-10-25 11:04:00,2019-10-28 13:37:00,215.13000000000466,216.43791999999996,0.6079672755986045,67095.0,67087,-0.011923392205082347,No
8,2020-07-21 09:00:00,2020-08-04 08:43:00,38994.94,39002.544731999995,0.019501843059618783,302145.0,302145,0.0,Yes
