DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-08-30 09:11:00,2019-08-30 09:35:00,8.0,7.967039999999999,-0.41200000000001236,360.0,326,-9.444444444444445,Yes
2,2019-09-16 14:03:00,2019-09-30 11:43:00,13876.0,13882.666787999999,0.048045459786672184,300300.0,300243,-0.01898101898101898,Yes
3,2019-10-18 13:49:00,2019-10-25 10:35:00,493.29999999981374,494.08926399999996,0.15999675657541454,148290.0,148246,-0.029671589453098658,No
4,2020-03-17 15:35:00,2020-03-27 11:43:00,728.0,729.6812759999999,0.23094450549449336,212520.0,212512,-0.003764351590438547,No
5,2020-03-27 11:43:00,2020-04-07 12:45:00,888.3999999999069,858.880108,-3.3228153984590287,238530.0,228350,-4.267806984446401,No
6,2020-06-19 10:07:00,2020-07-02 11:39:00,21134.5,21133.503087999998,-0.004716988809777092,282180.0,282160,-0.0070876745339854,Yes
