DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-06-03 14:24:00,2019-06-04 08:58:00,5846.870000000112,5847.143439999999,0.004676690261407459,16710.0,16640,-0.4189108318372232,Yes
2,2019-06-04 08:58:00,2019-06-05 12:29:00,469.160000000149,469.59061599999995,0.09178446582206627,24765.0,24766,0.004037956793862305,Yes
3,2019-06-05 12:29:00,2019-06-06 09:34:00,391.4399999999441,391.74599599999993,0.07817187820760708,18975.0,18976,0.005270092226613966,Yes
4,2019-06-06 09:34:00,2019-06-07 11:32:00,54.56000000005588,54.80659599999999,0.45197214065956737,23370.0,23371,0.004278990158322636,Yes
5,2019-06-07 11:32:00,2019-06-10 13:34:00,975.6499999999069,976.0287919999998,0.03882457849567035,66630.0,66605,-0.037520636349992496,Yes
6,2019-06-10 13:34:00,2019-06-17 14:21:00,13032.399999999907,13013.429527999999,-0.14556391761999515,151905.0,151906,0.0006583061782034825,Yes
7,2019-06-17 14:21:00,2019-06-27 12:07:00,33631.45999999996,33592.824984,-0.11487760567029752,213990.0,213965,-0.011682788915369877,Yes
8,2019-06-27 12:07:00,2019-07-09 08:38:00,38009.53000000026,37944.75419199999,-0.17041991311196764,256065.0,256070,0.0019526292152383185,Yes
9,2019-07-09 08:38:00,2019-07-10 10:46:00,721.4899999997579,721.7806279999999,0.04028163941871772,23520.0,22733,-3.3460884353741496,Yes
10,2019-07-10 10:46:00,2019-07-17 10:31:00,21997.169999999925,22000.582607999997,0.015513850191054113,150975.0,150975,0.0,Yes
11,2019-07-17 10:31:00,2019-07-26 09:45:00,30492.02000000002,30464.599924,-0.08992541655167591,193710.0,193690,-0.010324712198647463,Yes
12,2019-07-26 09:45:00,2019-08-06 13:02:00,37759.419999999925,37734.45753199999,-0.0661092463812539,240555.0,240569,0.005819874872690237,Yes
13,2019-08-07 08:54:00,2019-08-14 15:28:00,23194.330000000075,23192.816947999996,-0.0065233701515777995,157110.0,156697,-0.26287314620329705,Yes
14,2019-08-14 15:28:00,2019-09-06 11:00:00,78581.02000000002,78447.26018399998,-0.1702189867222827,492780.0,492806,0.005276188156986891,Yes
15,2020-03-17 14:41:00,2020-03-27 11:59:00,676.1000000000931,680.617588,0.6681834048078983,213570.0,212661,-0.42562157606405393,No
16,2020-03-27 11:59:00,2020-04-07 11:45:00,909.75,915.1805239999999,0.5969248694696211,237390.0,237356,-0.014322423016976284,No
