DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-05-08 11:22:00.000,2019-05-10 11:00:00.000,281.45000000000005,283.004567,0.5523421566885638,42870.0,42833,-0.08630744110100304,Yes
2,2019-05-10 11:00:00.000,2019-05-13 12:34:00.000,810.8799999999999,815.174591,0.5296210290055351,66210.0,66171,-0.05890348889895786,Yes
3,2019-05-13 12:34:00.000,2019-05-14 12:54:00.000,116.13999999999987,116.731881,0.5096271741003352,21900.0,21900,0.0,Yes
4,2019-05-14 12:54:00.000,2019-05-15 10:47:00.000,196.55000000000018,197.615183,0.5419399643855604,19695.0,19695,0.0,Yes
5,2019-05-15 10:47:00.000,2019-05-16 10:51:00.000,79.4699999999998,79.900315,0.5414810620362493,21660.0,21660,0.0,Yes
6,2019-05-16 10:51:00.000,2019-05-17 09:13:00.000,130.99000000000024,131.885539,0.6836697457819346,20130.0,20130,0.0,Yes
7,2019-05-17 09:13:00.000,2019-05-20 12:10:00.000,741.8600000000001,745.739173,0.5228982557355731,67455.0,67440,-0.022237046920169,Yes
8,2019-05-20 12:10:00.000,2019-05-21 10:38:00.000,,110.094544,,20220.0,20220,0.0,Yes
9,2019-05-21 10:38:00.000,2019-05-22 11:55:00.000,,211.620573,,22755.0,22755,0.0,Yes
10,2019-05-22 11:55:00.000,2019-05-24 10:01:00.000,206.97000000000025,208.05398300000002,0.5237391892543657,41490.0,41490,0.0,Yes
11,2019-05-24 10:01:00.000,2019-05-28 14:49:00.000,1016.6599999999999,1022.1238010000001,0.5374265732890265,90720.0,90694,-0.028659611992945325,Yes
12,2019-05-28 14:49:00.000,2019-05-29 11:46:00.000,72.75,73.167289,0.5735931271477618,18855.0,18855,0.0,Yes
13,2019-05-29 11:46:00.000,2019-05-30 11:20:00.000,126.61000000000058,128.345046,1.370386225416165,21210.0,21210,0.0,Yes
14,2019-05-30 11:20:00.000,2019-05-31 11:14:00.000,174.83999999999924,174.310562,-0.3028128574692484,21510.0,21488,-0.10227801022780102,Yes
15,2019-05-31 11:14:00.000,2019-06-03 14:47:00.000,853.6400000000003,858.208544,0.5351839182793252,67995.0,67995,0.0,Yes
16,2019-06-03 14:47:00.000,2019-06-04 09:18:00.000,126.13000000000011,123.969449,-1.7129556806470387,16665.0,16665,0.0,Yes
17,2019-06-04 09:18:00.000,2019-06-05 12:49:00.000,278.02999999999975,282.404336,1.573332374204316,24765.0,24765,0.0,Yes
18,2019-06-05 12:49:00.000,2019-06-06 09:52:00.000,41.159999999999854,41.415939,0.6218148688050243,18945.0,18945,0.0,Yes
19,2019-06-06 09:52:00.000,2019-06-07 11:55:00.000,128.53000000000065,129.223645,0.5396755621250653,23445.0,23445,0.0,Yes
20,2019-06-07 11:55:00.000,2019-06-10 13:49:00.000,386.4499999999998,388.506039,0.5320323457110027,66510.0,66511,0.0015035333032626672,Yes
21,2019-06-10 13:49:00.000,2019-06-17 14:47:00.000,1565.1600000000008,1573.553411,0.536265365841149,152070.0,152070,0.0,Yes
22,2019-06-17 14:47:00.000,2019-06-19 14:46:59.995,456.5099999999984,469.05008,2.74694530240337,43199.99875,43150,-0.11573785057111567,Yes
23,2019-07-09 10:09:00.000,2019-07-17 10:58:00.000,2781.2199999999975,2794.736429,0.485989206175798,173535.0,173306,-0.1319618520759501,Yes
24,2019-07-17 10:58:00.000,2019-07-26 10:15:00.000,3591.5,3610.380766,0.5257069748016211,193755.0,193742,-0.006709504270857526,Yes
25,2019-07-26 10:15:00.000,2019-08-06 13:36:00.000,4750.050000000003,4775.098575,0.5273328701802519,240615.0,240616,0.0004156016873428506,Yes
26,2019-08-06 13:36:00.000,2019-08-13 08:33:00.000,2666.1800000000003,2672.315402,0.23011957182185316,146655.0,146640,-0.010228086325048583,Yes
27,2019-09-06 11:47:00.000,2019-09-30 13:37:00.000,5317.059999999998,5344.05667,0.5077367943939373,520050.0,520050,0.0,Yes
28,2019-09-30 13:37:00.000,2019-10-09 10:57:00.000,1573.9900000000052,1566.2114550000001,-0.4941927839443134,192000.0,191061,-0.4890625,Yes
29,2019-10-09 10:57:00.000,2019-10-18 14:49:00.000,1707.219999999994,1729.752655,1.319844835463865,197880.0,197813,-0.033858904386496864,No
30,2019-10-18 14:49:00.000,2019-10-25 09:43:00.000,1148.8600000000006,1146.693481,-0.18857989659319335,146610.0,146605,-0.0034104085669463204,No
31,2019-10-25 09:43:00.000,2019-11-06 16:30:00.000,2464.959999999999,2483.955955,0.7706394829936706,265305.0,266206,0.33960912911554625,No
32,2019-11-06 16:30:00.000,2019-11-14 12:07:00.000,1322.8480000000054,1328.659163,0.43929181583935556,168855.0,168820,-0.020727843415948594,No
33,2019-11-14 12:07:00.000,2019-11-25 14:35:00.000,2188.2819999999992,2199.742227,0.5237088729880768,239820.0,239799,-0.008756567425569177,No
