DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-10-28 14:33:00,2019-11-06 15:40:00,1695.7999999999884,1697.056344,0.07408562330532675,195405.0,195405,0.0,No
2,2019-11-06 15:40:00,2019-11-14 11:21:00,1483.2000000000116,1485.2572530000002,0.13870368122900223,168915.0,168890,-0.014800343367966137,No
3,2019-11-14 11:21:00,2019-11-25 13:28:00,1711.399999999965,895.8489750000001,-47.65402740446311,239505.0,108028,-54.895304899688945,No
4,2020-06-12 12:36:00,2020-07-02 09:16:00,40217.0,32189.508027000003,-19.96044452097371,429000.0,348185,-18.837995337995338,Yes
5,2020-07-21 09:33:00,2020-08-04 09:15:00,34044.59999999998,34024.656213,-0.058581352108630164,302130.0,302093,-0.012246384006884454,Yes
