DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-09-20 09:00:00,2019-09-20 09:23:00,3.6000000000931323,3.549192,-1.4113333358838258,345.0,253,-26.666666666666668,Yes
2,2019-09-20 09:23:00,2019-09-30 12:53:00,1283.2999999998137,1290.348767,0.5492688381662308,219150.0,219144,-0.0027378507871321013,Yes
3,2019-09-30 12:53:00,2019-10-09 11:42:00,1091.3000000000466,1096.074,0.43745991019456604,193335.0,193328,-0.003620658442599633,Yes
4,2019-10-18 14:23:00,2019-10-25 10:19:00,760.3999999999069,774.663348,1.8757690689235824,147540.0,147475,-0.0440558492612173,No
5,2019-10-25 10:19:00,2019-11-06 17:05:00,1671.1000000000931,1680.264044,0.5483839387173939,265290.0,265290,0.0,No
6,2019-11-06 17:05:00,2019-11-15 02:22:00,1103.3999999999069,1036.972994,-6.020210802964701,181155.0,181130,-0.013800336728216168,No
7,2020-06-19 10:36:00,2020-07-02 11:24:00,2623.0,2647.923406,0.950187037743038,281520.0,281474,-0.016339869281045753,Yes
