DataCollectionPeriod,StartDate,EndDate,Meter_WaterUse,CIWS-DL_WaterUse,PercentError_Vol,N_ExpectedValues,N_ActualValues,PercentError_Count,OutdoorWaterUse_Expected
1,2019-10-09 13:56:00,2019-10-14 14:42:00,429.0999999999767,432.018437,0.680129806577359,108690.0,107712,-0.8998067899530776,No
2,2019-10-14 14:42:00,2019-10-18 16:00:00,2274.4000000000233,2286.471257,0.5307446799145596,87570.0,87541,-0.03311636405161585,No
3,2019-10-18 16:00:00,2019-10-25 10:54:00,471.9000000000233,474.225985,0.4928978597110791,146610.0,146560,-0.0341040856694632,No
4,2019-10-25 10:54:00,2019-11-07 11:29:00,723.4000000000233,727.245099,0.5315315178292197,281325.0,281325,0.0,No
5,2019-11-07 11:29:00,2019-11-15 01:53:00,661.2999999999302,644.726385,-2.50621729924873,164160.0,164145,-0.009137426900584795,No
6,2019-11-15 01:53:00,2019-11-25 15:50:00,985.9000000000233,1010.962984,2.5421426108100347,228555.0,228531,-0.010500754741747062,No
7,2020-07-21 10:49:00,2020-08-04 10:22:00,8902.900000000023,8945.35568,0.4768747262125507,301995.0,301996,0.0003311313101210285,Yes
