X1,StartTime,EndTime,Duration,OriginalVolume,OriginalFlowRate,Peak_Value,Mode_Value,Label,Site
0,2020-08-12T09:41:17Z,2020-08-12T09:48:05Z,6.866666667,53.003007,7.718884515,0.539338,0.513241,irrigation,32
1,2020-08-12T10:09:49Z,2020-08-12T10:09:57Z,0.2,0.08699,0.43495,0.026097,0.008699,faucet,32
2,2020-08-12T10:41:13Z,2020-08-12T10:41:17Z,0.133333333,0.034796,0.26097,0.017398,0.008699,faucet,32
3,2020-08-12T10:45:25Z,2020-08-12T10:45:37Z,0.266666667,0.217475,0.81553125,0.060893,0.017398,faucet,32
4,2020-08-12T12:04:45Z,2020-08-12T12:05:01Z,0.333333333,1.104773,3.314319,0.243572,0.095689,toilet,32
5,2020-08-12T12:05:13Z,2020-08-12T12:05:45Z,0.6,2.070362,3.450603333,0.26097,0.234873,toilet,32
6,2020-08-12T12:12:13Z,2020-08-12T12:12:21Z,0.2,0.078291,0.391455,0.017398,0.017398,faucet,32
7,2020-08-12T12:35:29Z,2020-08-12T12:36:09Z,0.733333333,2.044265,2.787634091,0.295766,0.052194,toilet,32
8,2020-08-12T12:37:21Z,2020-08-12T12:37:29Z,0.2,0.08699,0.43495,0.026097,0.008699,faucet,32
9,2020-08-12T12:38:41Z,2020-08-12T12:38:49Z,0.2,0.08699,0.43495,0.026097,0.026097,faucet,32
10,2020-08-12T12:45:49Z,2020-08-12T12:45:57Z,0.2,0.08699,0.43495,0.017398,0.017398,faucet,32
11,2020-08-12T14:37:49Z,2020-08-12T14:38:21Z,0.6,2.226944,3.711573333,0.26097,0.26097,toilet,32
12,2020-08-12T14:38:49Z,2020-08-12T14:39:13Z,0.466666667,1.878984,4.026394286,0.287067,0.278368,toilet,32
13,2020-08-12T14:43:29Z,2020-08-12T14:43:45Z,0.333333333,0.504542,1.513626,0.121786,0.034796,faucet,32
14,2020-08-12T14:46:09Z,2020-08-12T14:47:29Z,1.4,4.593072,3.280765714,0.339261,0.226174,bathtub,32
15,2020-08-12T14:47:37Z,2020-08-12T14:47:41Z,0.133333333,0.069592,0.52194,0.043495,0.017398,faucet,32
16,2020-08-12T14:48:53Z,2020-08-12T14:49:17Z,0.466666667,1.731101,3.709502143,0.26097,0.095689,toilet,32
17,2020-08-12T15:00:29Z,2020-08-12T15:00:41Z,0.266666667,0.52194,1.957275,0.113087,0.113087,faucet,32
18,2020-08-12T15:06:29Z,2020-08-12T15:06:33Z,0.133333333,0.043495,0.3262125,0.017398,0.008699,faucet,32
19,2020-08-12T15:07:49Z,2020-08-12T15:07:53Z,0.133333333,0.078291,0.5871825,0.026097,0.008699,faucet,32
20,2020-08-12T15:14:49Z,2020-08-12T15:14:53Z,0.133333333,0.208776,1.56582,0.060893,0.026097,faucet,32
21,2020-08-12T15:19:53Z,2020-08-12T15:19:57Z,0.133333333,0.08699,0.652425,0.026097,0.008699,faucet,32
22,2020-08-12T15:23:29Z,2020-08-12T15:23:33Z,0.133333333,0.156582,1.174365,0.069592,0.034796,faucet,32
