X1,StartTime,EndTime,Duration,OriginalVolume,OriginalFlowRate,Peak_Value,Mode_Value,Label,Site
0,2019-11-14T12:16:07Z,2019-11-14T12:17:31Z,1.466666667,3.025575,2.062892045,0.127125,0.127125,toilet,27
1,2019-11-14T13:26:23Z,2019-11-14T13:26:27Z,0.133333333,0.05085,0.381375,0.025425,0.025425,faucet,27
2,2019-11-14T13:28:35Z,2019-11-14T13:29:23Z,0.866666667,1.601775,1.848201923,0.127125,0.127125,toilet,27
3,2019-11-14T13:41:31Z,2019-11-14T13:41:51Z,0.4,0.45765,1.144125,0.076275,0.076275,faucet,27
4,2019-11-14T15:07:47Z,2019-11-14T15:08:31Z,0.8,1.67805,2.0975625,0.15255,0.15255,toilet,27
5,2019-11-14T15:12:55Z,2019-11-14T15:13:07Z,0.266666667,0.25425,0.9534375,0.076275,0.05085,faucet,27
6,2019-11-14T15:13:31Z,2019-11-14T15:13:39Z,0.2,0.2034,1.017,0.05085,0.05085,faucet,27
7,2019-11-14T15:14:15Z,2019-11-14T15:14:31Z,0.333333333,0.330525,0.991575,0.076275,0.05085,faucet,27
8,2019-11-14T15:44:43Z,2019-11-14T15:44:47Z,0.133333333,0.05085,0.381375,0.025425,0.025425,faucet,27
9,2019-11-14T15:49:27Z,2019-11-14T15:49:31Z,0.133333333,0.05085,0.381375,0.025425,0.025425,faucet,27
10,2019-11-14T15:49:43Z,2019-11-14T15:49:47Z,0.133333333,0.076275,0.5720625,0.025425,0.025425,faucet,27
11,2019-11-14T16:11:19Z,2019-11-14T16:11:31Z,0.266666667,0.228825,0.85809375,0.05085,0.025425,faucet,27
12,2019-11-14T16:13:31Z,2019-11-14T16:13:47Z,0.333333333,0.2034,0.6102,0.05085,0.025425,faucet,27
13,2019-11-14T16:17:31Z,2019-11-14T16:17:35Z,0.133333333,0.127125,0.9534375,0.05085,0.025425,faucet,27
14,2019-11-14T16:37:59Z,2019-11-14T16:38:47Z,0.866666667,1.652625,1.906875,0.15255,0.127125,toilet,27
15,2019-11-14T16:58:11Z,2019-11-14T16:58:31Z,0.4,0.55935,1.398375,0.127125,0.076275,faucet,27
16,2019-11-14T17:12:59Z,2019-11-14T17:13:07Z,0.2,0.1017,0.5085,0.025425,0.025425,faucet,27
17,2019-11-14T17:20:07Z,2019-11-14T17:20:11Z,0.133333333,0.076275,0.5720625,0.05085,0.025425,faucet,27
18,2019-11-14T17:26:15Z,2019-11-14T17:26:59Z,0.8,1.856025,2.32003125,0.177975,0.127125,toilet,27
19,2019-11-14T17:29:11Z,2019-11-14T17:29:55Z,0.8,1.805175,2.25646875,0.177975,0.127125,toilet,27
20,2019-11-14T17:36:59Z,2019-11-14T17:37:39Z,0.733333333,1.47465,2.010886364,0.127125,0.127125,toilet,27
21,2019-11-14T17:52:19Z,2019-11-14T17:53:47Z,1.533333333,1.703475,1.110961957,0.076275,0.05085,faucet,27
22,2019-11-14T18:00:35Z,2019-11-14T18:00:39Z,0.133333333,0.1017,0.76275,0.025425,0.025425,faucet,27
23,2019-11-14T18:00:47Z,2019-11-14T18:01:19Z,0.6,0.686475,1.144125,0.076275,0.076275,faucet,27
24,2019-11-14T18:01:43Z,2019-11-14T18:02:23Z,0.733333333,1.8306,2.496272727,0.2034,0.15255,toilet,27
25,2019-11-14T18:05:03Z,2019-11-14T18:05:11Z,0.2,0.15255,0.76275,0.05085,0.025425,faucet,27
26,2019-11-14T18:09:19Z,2019-11-14T18:09:35Z,0.333333333,0.3051,0.9153,0.05085,0.025425,faucet,27
27,2019-11-14T18:12:07Z,2019-11-14T18:12:15Z,0.2,0.076275,0.381375,0.025425,0.025425,faucet,27
28,2019-11-14T18:22:19Z,2019-11-14T18:22:27Z,0.2,0.127125,0.635625,0.025425,0.025425,faucet,27
29,2019-11-14T18:38:07Z,2019-11-14T18:38:15Z,0.2,0.15255,0.76275,0.025425,0.025425,faucet,27
30,2019-11-14T18:38:51Z,2019-11-14T18:38:59Z,0.2,0.15255,0.76275,0.025425,0.025425,faucet,27
31,2019-11-14T18:40:11Z,2019-11-14T18:40:59Z,0.866666667,1.601775,1.848201923,0.15255,0.127125,toilet,27
32,2019-11-14T18:44:35Z,2019-11-14T18:44:43Z,0.2,0.15255,0.76275,0.05085,0.025425,faucet,27
33,2019-11-14T18:45:43Z,2019-11-14T18:46:27Z,0.8,1.017,1.27125,0.076275,0.076275,faucet,27
34,2019-11-14T18:46:51Z,2019-11-14T18:46:59Z,0.2,0.15255,0.76275,0.05085,0.025425,faucet,27
35,2019-11-14T18:50:39Z,2019-11-14T18:51:23Z,0.8,1.017,1.27125,0.076275,0.076275,faucet,27
36,2019-11-14T18:51:35Z,2019-11-14T18:51:55Z,0.4,0.4068,1.017,0.076275,0.076275,faucet,27
37,2019-11-14T18:52:03Z,2019-11-14T18:52:11Z,0.2,0.127125,0.635625,0.025425,0.025425,faucet,27
38,2019-11-14T18:52:59Z,2019-11-14T18:53:07Z,0.2,0.15255,0.76275,0.05085,0.025425,faucet,27
39,2019-11-14T18:54:19Z,2019-11-14T18:54:27Z,0.2,0.2034,1.017,0.05085,0.025425,faucet,27
40,2019-11-14T18:56:15Z,2019-11-14T18:56:27Z,0.266666667,0.25425,0.9534375,0.05085,0.025425,faucet,27
