X1,StartTime,EndTime,Duration,OriginalVolume,OriginalFlowRate,Peak_Value,Mode_Value,Label,Site
0,2019-10-09T18:06:38Z,2019-10-09T18:17:46Z,11.2,46.252583,4.129694911,0.295766,0.295766,irrigation,18
1,2019-10-09T19:00:50Z,2019-10-09T19:01:06Z,0.333333333,0.043495,0.130485,0.008699,0.008699,faucet,18
2,2019-10-09T19:01:14Z,2019-10-09T19:01:22Z,0.2,0.026097,0.130485,0.008699,0.008699,faucet,18
3,2019-10-09T19:08:34Z,2019-10-09T19:09:42Z,1.2,0.556736,0.463946667,0.052194,0.008699,faucet,18
4,2019-10-09T19:27:38Z,2019-10-09T19:28:42Z,1.133333333,1.226559,1.082257941,0.113087,0.113087,faucet,18
5,2019-10-09T19:28:50Z,2019-10-09T19:28:54Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
6,2019-10-10T06:59:46Z,2019-10-10T07:00:54Z,1.2,1.113472,0.927893333,0.113087,0.008699,faucet,18
7,2019-10-10T09:30:58Z,2019-10-10T09:37:54Z,7,10.064743,1.437820429,0.104388,0.095689,faucet,18
8,2019-10-10T09:38:26Z,2019-10-10T09:39:38Z,1.266666667,0.730716,0.576881053,0.052194,0.052194,faucet,18
9,2019-10-10T17:57:14Z,2019-10-10T17:58:18Z,1.133333333,0.217475,0.191889706,0.008699,0.008699,faucet,18
10,2019-10-10T18:01:10Z,2019-10-10T18:13:02Z,11.93333333,22.104159,1.852303827,0.130485,0.130485,shower,18
11,2019-10-10T18:13:26Z,2019-10-10T18:14:10Z,0.8,0.321863,0.40232875,0.060893,0.008699,faucet,18
12,2019-10-10T18:23:42Z,2019-10-10T18:23:58Z,0.333333333,0.060893,0.182679,0.008699,0.008699,faucet,18
13,2019-10-10T18:32:10Z,2019-10-10T18:33:06Z,1,0.730716,0.730716,0.104388,0.008699,faucet,18
14,2019-10-10T18:33:14Z,2019-10-10T18:33:18Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
15,2019-10-10T18:34:58Z,2019-10-10T18:35:58Z,1.066666667,1.252656,1.174365,0.121786,0.113087,faucet,18
16,2019-10-10T18:36:06Z,2019-10-10T18:36:14Z,0.2,0.026097,0.130485,0.008699,0.008699,faucet,18
17,2019-10-10T18:37:30Z,2019-10-10T18:45:54Z,8.466666667,15.423327,1.821652795,0.139184,0.130485,shower,18
18,2019-10-10T18:46:02Z,2019-10-10T18:46:06Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
19,2019-10-10T19:30:58Z,2019-10-10T19:32:50Z,1.933333333,2.6097,1.349844828,0.121786,0.121786,toilet,18
20,2019-10-10T19:32:58Z,2019-10-10T19:33:02Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
21,2019-10-10T19:41:18Z,2019-10-10T19:53:58Z,12.73333333,23.504698,1.845918691,0.130485,0.121786,shower,18
22,2019-10-10T20:06:42Z,2019-10-10T20:07:06Z,0.466666667,0.295766,0.633784286,0.060893,0.017398,faucet,18
23,2019-10-10T20:07:14Z,2019-10-10T20:07:18Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
24,2019-10-10T20:07:26Z,2019-10-10T20:07:30Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
25,2019-10-10T20:09:26Z,2019-10-10T20:22:18Z,12.93333333,23.469902,1.814683144,0.130485,0.121786,shower,18
26,2019-10-10T21:14:18Z,2019-10-10T21:26:50Z,12.6,22.930564,1.819886032,0.130485,0.121786,shower,18
27,2019-10-10T21:35:58Z,2019-10-10T21:36:26Z,0.533333333,0.139184,0.26097,0.026097,0.008699,faucet,18
28,2019-10-10T21:39:18Z,2019-10-10T21:39:54Z,0.666666667,0.452348,0.678522,0.078291,0.017398,faucet,18
29,2019-10-10T21:40:02Z,2019-10-10T21:40:06Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
30,2019-10-10T21:40:14Z,2019-10-10T21:40:18Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
31,2019-10-10T21:42:22Z,2019-10-10T21:54:50Z,12.53333333,22.591303,1.80249758,0.130485,0.121786,shower,18
32,2019-10-10T22:36:38Z,2019-10-10T22:36:42Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
33,2019-10-10T22:48:58Z,2019-10-10T22:49:26Z,0.533333333,0.382756,0.7176675,0.069592,0.017398,faucet,18
34,2019-10-10T22:49:34Z,2019-10-10T22:49:42Z,0.2,0.026097,0.130485,0.008699,0.008699,faucet,18
35,2019-10-10T22:51:50Z,2019-10-10T23:04:10Z,12.4,22.808778,1.839417581,0.130485,0.121786,shower,18
36,2019-10-10T23:04:18Z,2019-10-10T23:04:26Z,0.2,0.026097,0.130485,0.008699,0.008699,faucet,18
37,2019-10-11T07:49:02Z,2019-10-11T08:07:38Z,18.66666667,52.254893,2.799369268,0.287067,0.243572,irrigation,18
38,2019-10-11T08:07:46Z,2019-10-11T08:07:50Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
39,2019-10-11T08:10:06Z,2019-10-11T08:11:10Z,1.133333333,0.60893,0.537291176,0.052194,0.008699,faucet,18
40,2019-10-11T08:11:18Z,2019-10-11T08:11:22Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
41,2019-10-11T08:19:26Z,2019-10-11T08:20:02Z,0.666666667,0.304465,0.4566975,0.060893,0.008699,faucet,18
42,2019-10-11T08:22:10Z,2019-10-11T08:34:54Z,12.8,23.417708,1.829508438,0.130485,0.130485,shower,18
43,2019-10-11T20:47:58Z,2019-10-11T20:49:06Z,1.2,1.078676,0.898896667,0.113087,0.008699,faucet,18
44,2019-10-11T20:56:06Z,2019-10-11T20:57:02Z,1,0.461047,0.461047,0.052194,0.008699,faucet,18
45,2019-10-12T05:48:54Z,2019-10-12T05:50:18Z,1.466666667,1.296151,0.883739318,0.130485,0.008699,faucet,18
46,2019-10-12T05:50:26Z,2019-10-12T05:50:30Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
47,2019-10-12T11:27:38Z,2019-10-12T11:27:42Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
48,2019-10-12T11:41:10Z,2019-10-12T11:42:14Z,1.133333333,0.469746,0.414481765,0.034796,0.034796,faucet,18
49,2019-10-12T11:42:22Z,2019-10-12T11:42:26Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
50,2019-10-12T12:12:22Z,2019-10-12T12:26:02Z,13.73333333,74.454741,5.421461723,0.391455,0.391455,irrigation,18
51,2019-10-12T12:26:10Z,2019-10-12T12:26:14Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
52,2019-10-14T08:24:54Z,2019-10-14T08:25:14Z,0.4,0.113087,0.2827175,0.026097,0.008699,faucet,18
53,2019-10-14T08:27:54Z,2019-10-14T08:28:46Z,0.933333333,0.730716,0.78291,0.104388,0.008699,faucet,18
54,2019-10-14T08:31:34Z,2019-10-14T08:33:02Z,1.533333333,1.809392,1.180038261,0.121786,0.121786,toilet,18
55,2019-10-14T15:46:42Z,2019-10-14T15:46:46Z,0.133333333,0.034796,0.26097,0.017398,0.008699,faucet,18
56,2019-10-14T16:53:42Z,2019-10-14T16:54:58Z,1.333333333,1.348345,1.01125875,0.113087,0.008699,faucet,18
57,2019-10-14T16:55:14Z,2019-10-14T16:55:18Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
58,2019-10-15T20:32:18Z,2019-10-15T20:44:14Z,12,21.92148,1.82679,0.130485,0.121786,shower,18
59,2019-10-15T20:50:10Z,2019-10-15T20:50:42Z,0.6,0.26097,0.43495,0.043495,0.008699,faucet,18
60,2019-10-15T20:50:50Z,2019-10-15T20:50:54Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
61,2019-10-15T21:00:14Z,2019-10-15T21:00:18Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
62,2019-10-15T21:03:22Z,2019-10-15T21:04:26Z,1.133333333,0.756813,0.667776176,0.104388,0.008699,faucet,18
63,2019-10-15T21:07:06Z,2019-10-15T21:08:26Z,1.4,1.7398,1.242714286,0.121786,0.121786,toilet,18
64,2019-10-15T21:08:34Z,2019-10-15T21:08:42Z,0.2,0.026097,0.130485,0.008699,0.008699,faucet,18
65,2019-10-16T07:53:10Z,2019-10-16T07:54:10Z,1.066666667,1.069977,1.003103438,0.113087,0.008699,faucet,18
66,2019-10-16T07:54:18Z,2019-10-16T07:54:22Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
67,2019-10-16T07:58:06Z,2019-10-16T08:01:18Z,3.266666667,1.835489,0.561884388,0.043495,0.034796,faucet,18
68,2019-10-16T15:09:18Z,2019-10-16T15:10:06Z,0.866666667,0.895997,1.033842692,0.156582,0.008699,faucet,18
69,2019-10-16T15:21:10Z,2019-10-16T15:22:26Z,1.333333333,1.383141,1.03735575,0.121786,0.008699,faucet,18
70,2019-10-16T15:22:34Z,2019-10-16T15:22:38Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
71,2019-10-16T15:48:34Z,2019-10-16T15:50:02Z,1.533333333,3.905851,2.54729413,0.356659,0.008699,faucet,18
72,2019-10-16T15:50:26Z,2019-10-16T15:53:38Z,3.266666667,10.569285,3.235495408,0.330562,0.269669,clotheswasher,18
73,2019-10-16T15:53:46Z,2019-10-16T15:53:50Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
74,2019-10-16T15:53:58Z,2019-10-16T15:54:02Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
75,2019-10-16T17:54:50Z,2019-10-16T17:54:54Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
76,2019-10-16T17:56:50Z,2019-10-16T17:57:58Z,1.2,1.278753,1.0656275,0.121786,0.008699,faucet,18
77,2019-10-16T17:58:06Z,2019-10-16T17:58:10Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
78,2019-10-16T20:49:54Z,2019-10-16T20:51:02Z,1.2,1.069977,0.8916475,0.113087,0.008699,faucet,18
79,2019-10-17T07:07:22Z,2019-10-17T07:08:18Z,1,1.035181,1.035181,0.113087,0.104388,faucet,18
80,2019-10-17T07:08:26Z,2019-10-17T07:08:30Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
81,2019-10-17T11:20:22Z,2019-10-17T11:20:26Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
82,2019-10-17T11:23:38Z,2019-10-17T11:24:42Z,1.133333333,0.426251,0.376103824,0.034796,0.008699,faucet,18
83,2019-10-17T11:24:58Z,2019-10-17T11:25:02Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
84,2019-10-17T11:55:54Z,2019-10-17T12:06:54Z,11.06666667,22.452119,2.028805934,0.147883,0.139184,shower,18
85,2019-10-17T12:07:02Z,2019-10-17T12:07:06Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
86,2019-10-17T12:18:06Z,2019-10-17T12:18:30Z,0.466666667,0.121786,0.26097,0.017398,0.008699,faucet,18
87,2019-10-17T12:39:54Z,2019-10-17T12:40:38Z,0.8,0.452348,0.565435,0.078291,0.008699,faucet,18
88,2019-10-17T12:43:10Z,2019-10-17T12:55:42Z,12.6,22.147654,1.757750317,0.130485,0.121786,shower,18
89,2019-10-17T12:56:46Z,2019-10-17T12:57:26Z,0.733333333,0.339261,0.462628636,0.060893,0.008699,faucet,18
90,2019-10-17T17:36:46Z,2019-10-17T17:37:38Z,0.933333333,0.374057,0.400775357,0.043495,0.008699,faucet,18
91,2019-10-18T17:01:54Z,2019-10-18T17:01:58Z,0.133333333,0.026097,0.1957275,0.008699,0.008699,faucet,18
92,2019-10-18T17:43:50Z,2019-10-18T17:44:54Z,1.133333333,1.13087,0.997826471,0.113087,0.008699,faucet,18
93,2019-10-18T17:57:42Z,2019-10-18T18:09:50Z,12.2,22.373828,1.833920328,0.130485,0.121786,shower,18
94,2019-10-18T18:19:30Z,2019-10-18T18:21:14Z,1.8,0.878599,0.488110556,0.043495,0.034796,faucet,18
95,2019-10-18T18:23:46Z,2019-10-18T18:25:02Z,1.333333333,1.235258,0.9264435,0.121786,0.008699,faucet,18
96,2019-10-18T18:25:10Z,2019-10-18T18:25:14Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
97,2019-10-18T18:28:58Z,2019-10-18T18:29:46Z,0.866666667,0.69592,0.802984615,0.104388,0.008699,faucet,18
98,2019-10-18T18:29:54Z,2019-10-18T18:29:58Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
99,2019-10-18T18:32:26Z,2019-10-18T18:33:54Z,1.533333333,1.591917,1.038206739,0.121786,0.008699,faucet,18
100,2019-10-18T18:34:02Z,2019-10-18T18:34:06Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
101,2019-10-18T21:58:06Z,2019-10-18T21:59:14Z,1.2,1.069977,0.8916475,0.113087,0.008699,faucet,18
102,2019-10-18T23:17:26Z,2019-10-18T23:20:42Z,3.333333333,1.939877,0.5819631,0.043495,0.043495,faucet,18
103,2019-10-19T07:13:38Z,2019-10-19T07:13:42Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
104,2019-10-19T07:13:50Z,2019-10-19T07:13:54Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
105,2019-10-19T07:16:22Z,2019-10-19T07:18:06Z,1.8,1.061278,0.589598889,0.052194,0.052194,faucet,18
106,2019-10-19T07:35:22Z,2019-10-19T07:35:30Z,0.2,0.026097,0.130485,0.008699,0.008699,faucet,18
107,2019-10-19T07:49:30Z,2019-10-19T07:50:50Z,1.4,0.252271,0.180193571,0.008699,0.008699,faucet,18
108,2019-10-19T20:25:30Z,2019-10-19T20:26:30Z,1.066666667,1.017783,0.954171563,0.113087,0.008699,faucet,18
109,2019-10-19T20:26:38Z,2019-10-19T20:26:42Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
110,2019-10-19T23:02:34Z,2019-10-19T23:03:38Z,1.133333333,0.565435,0.498913235,0.052194,0.008699,faucet,18
111,2019-10-19T23:03:46Z,2019-10-19T23:03:50Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
112,2019-10-20T00:29:38Z,2019-10-20T00:30:58Z,1.4,0.678522,0.484658571,0.043495,0.034796,faucet,18
113,2019-10-20T00:31:06Z,2019-10-20T00:31:10Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
114,2019-10-20T08:33:34Z,2019-10-20T08:34:34Z,1.066666667,1.04388,0.9786375,0.113087,0.104388,faucet,18
115,2019-10-20T08:34:42Z,2019-10-20T08:34:46Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
116,2019-10-20T08:39:18Z,2019-10-20T08:53:30Z,14.26666667,51.654662,3.620653879,0.26097,0.26097,irrigation,18
117,2019-10-20T08:53:38Z,2019-10-20T08:53:42Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
118,2019-10-20T09:00:22Z,2019-10-20T09:01:26Z,1.133333333,0.339261,0.299347941,0.043495,0.008699,faucet,18
119,2019-10-20T09:07:14Z,2019-10-20T09:09:22Z,2.2,0.417552,0.189796364,0.008699,0.008699,faucet,18
120,2019-10-20T09:09:30Z,2019-10-20T09:09:34Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
121,2019-10-20T10:31:22Z,2019-10-20T10:43:38Z,12.33333333,22.513012,1.825379351,0.121786,0.121786,shower,18
122,2019-10-20T10:54:10Z,2019-10-20T10:54:26Z,0.333333333,0.104388,0.313164,0.017398,0.017398,faucet,18
123,2019-10-20T11:02:46Z,2019-10-20T11:03:34Z,0.866666667,0.582833,0.672499615,0.08699,0.008699,faucet,18
124,2019-10-20T11:07:30Z,2019-10-20T11:08:58Z,1.533333333,1.661509,1.083592826,0.139184,0.008699,faucet,18
125,2019-10-20T11:30:42Z,2019-10-20T11:42:54Z,12.26666667,22.078062,1.799842011,0.130485,0.121786,shower,18
126,2019-10-20T11:43:02Z,2019-10-20T11:43:06Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
127,2019-10-20T11:47:10Z,2019-10-20T11:47:34Z,0.466666667,0.17398,0.372814286,0.026097,0.008699,faucet,18
128,2019-10-20T12:16:06Z,2019-10-20T12:16:10Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
129,2019-10-20T12:35:34Z,2019-10-20T12:36:18Z,0.8,0.487144,0.60893,0.08699,0.008699,faucet,18
130,2019-10-20T12:39:06Z,2019-10-20T12:47:50Z,8.8,14.970979,1.701247614,0.130485,0.121786,shower,18
131,2019-10-20T12:47:58Z,2019-10-20T12:48:02Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
132,2019-10-20T12:55:06Z,2019-10-20T13:07:50Z,12.8,22.025868,1.720770937,0.121786,0.121786,shower,18
133,2019-10-20T13:12:18Z,2019-10-20T13:12:46Z,0.533333333,0.208776,0.391455,0.034796,0.008699,faucet,18
134,2019-10-20T13:12:54Z,2019-10-20T13:12:58Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
135,2019-10-20T16:35:18Z,2019-10-20T16:47:58Z,12.73333333,22.252042,1.747542565,0.130485,0.121786,shower,18
136,2019-10-20T16:48:14Z,2019-10-20T16:48:18Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
137,2019-10-20T17:28:50Z,2019-10-20T17:33:26Z,4.666666667,1.113472,0.238601143,0.017398,0.008699,faucet,18
138,2019-10-20T18:38:18Z,2019-10-20T18:38:22Z,0.133333333,0.017398,0.130485,0.008699,0.008699,faucet,18
139,2019-10-20T19:48:50Z,2019-10-20T19:49:10Z,0.4,0.052194,0.130485,0.008699,0.008699,faucet,18
