X1,StartTime,EndTime,Duration,OriginalVolume,OriginalFlowRate,Peak_Value,Mode_Value,Label,Site
0,2019-06-03T18:37:40Z,2019-06-03T18:39:08Z,1.533333333,1.99176,1.298973913,0.099588,0.099588,toilet,5
1,2019-06-03T21:24:40Z,2019-06-03T21:27:16Z,2.666666667,5.31136,1.99176,0.16598,0.16598,shower,5
2,2019-06-03T21:38:04Z,2019-06-03T21:39:40Z,1.666666667,2.290524,1.3743144,0.099588,0.099588,toilet,5
3,2019-06-03T21:40:48Z,2019-06-03T21:40:52Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet,5
4,2019-06-03T21:43:16Z,2019-06-03T21:45:40Z,2.466666667,4.81342,1.951386486,0.16598,0.16598,shower,5
5,2019-06-03T21:50:40Z,2019-06-03T21:53:24Z,2.8,4.713832,1.683511429,0.132784,0.099588,toilet,5
6,2019-06-03T22:19:56Z,2019-06-03T22:20:56Z,1.066666667,1.858976,1.74279,0.199176,0.033196,faucet,5
7,2019-06-04T00:05:52Z,2019-06-04T00:07:12Z,1.4,1.726192,1.232994286,0.099588,0.033196,faucet,5
8,2019-06-04T03:12:52Z,2019-06-04T05:12:52Z,120.0666667,2729.04316,22.72939889,1.925368,1.527016,irrigation,5
9,2019-06-04T08:35:40Z,2019-06-04T08:36:36Z,1,1.759388,1.759388,0.16598,0.16598,toilet,5
10,2019-06-04T08:59:08Z,2019-06-04T08:59:12Z,0.133333333,0.132784,0.99588,0.033196,0.033196,faucet,5
11,2019-06-04T09:00:32Z,2019-06-04T09:00:36Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet,5
12,2019-06-04T10:45:28Z,2019-06-04T10:46:40Z,1.266666667,1.692996,1.336575789,0.099588,0.099588,toilet,5
13,2019-06-04T10:47:08Z,2019-06-04T10:47:16Z,0.2,0.099588,0.49794,0.033196,0.033196,faucet,5
14,2019-06-04T11:19:52Z,2019-06-04T11:21:00Z,1.2,1.626604,1.355503333,0.099588,0.099588,toilet,5
15,2019-06-04T11:55:52Z,2019-06-04T11:57:08Z,1.333333333,1.6598,1.24485,0.099588,0.099588,toilet,5
16,2019-06-04T12:09:40Z,2019-06-04T12:10:56Z,1.333333333,1.759388,1.319541,0.099588,0.099588,toilet,5
17,2019-06-04T14:32:04Z,2019-06-04T14:39:00Z,7,19.054504,2.722072,0.16598,0.16598,clotheswasher,5
18,2019-06-04T14:39:08Z,2019-06-04T14:39:12Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet,5
19,2019-06-04T18:45:20Z,2019-06-04T18:45:28Z,0.2,0.16598,0.8299,0.033196,0.033196,faucet,5
20,2019-06-04T18:45:40Z,2019-06-04T18:46:24Z,0.8,0.630724,0.788405,0.033196,0.033196,faucet,5
21,2019-06-04T19:56:56Z,2019-06-04T20:03:36Z,6.733333333,17.726664,2.632672871,0.16598,0.16598,clotheswasher,5
22,2019-06-04T20:11:08Z,2019-06-04T20:13:08Z,2.066666667,5.012596,2.425449677,0.232372,0.199176,clotheswasher,5
23,2019-06-04T20:13:24Z,2019-06-04T20:14:00Z,0.666666667,0.796704,1.195056,0.099588,0.066392,faucet,5
24,2019-06-04T20:14:08Z,2019-06-04T20:14:40Z,0.6,0.531136,0.885226667,0.066392,0.033196,faucet,5
25,2019-06-04T20:42:52Z,2019-06-04T20:45:12Z,2.4,5.14538,2.143908333,0.16598,0.132784,shower,5
26,2019-06-04T20:45:20Z,2019-06-04T20:45:24Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet,5
27,2019-06-04T21:26:28Z,2019-06-04T21:27:36Z,1.2,1.759388,1.466156667,0.132784,0.033196,faucet,5
28,2019-06-04T21:27:48Z,2019-06-04T21:28:28Z,0.733333333,0.730312,0.99588,0.099588,0.033196,faucet,5
29,2019-06-04T21:29:00Z,2019-06-04T21:29:44Z,0.8,0.763508,0.954385,0.099588,0.033196,faucet,5
30,2019-06-04T21:30:00Z,2019-06-04T21:30:12Z,0.266666667,0.132784,0.49794,0.033196,0.033196,faucet,5
31,2019-06-04T21:31:08Z,2019-06-04T21:33:08Z,2.066666667,1.958564,0.947692258,0.066392,0.033196,faucet,5
32,2019-06-04T21:39:44Z,2019-06-04T21:41:12Z,1.533333333,1.560212,1.017529565,0.066392,0.066392,faucet,5
33,2019-06-04T21:56:40Z,2019-06-04T21:59:16Z,2.666666667,5.178576,1.941966,0.199176,0.132784,shower,5
34,2019-06-04T22:02:40Z,2019-06-04T22:04:12Z,1.6,1.593408,0.99588,0.066392,0.033196,faucet,5
35,2019-06-04T22:09:44Z,2019-06-04T22:12:04Z,2.4,3.883932,1.618305,0.132784,0.099588,toilet,5
36,2019-06-04T22:13:52Z,2019-06-04T23:31:52Z,78.06666667,364.82404,4.673237062,1.261448,0.298764,irrigation,5
37,2019-06-05T00:10:48Z,2019-06-05T00:12:04Z,1.333333333,1.759388,1.319541,0.099588,0.099588,toilet,5
38,2019-06-05T00:14:52Z,2019-06-05T00:15:20Z,0.533333333,0.398352,0.74691,0.033196,0.033196,faucet,5
39,2019-06-05T07:49:04Z,2019-06-05T07:50:16Z,1.266666667,1.626604,1.284161053,0.099588,0.099588,toilet,5
40,2019-06-05T08:12:52Z,2019-06-05T08:14:40Z,1.866666667,2.058152,1.102581429,0.066392,0.066392,faucet,5
41,2019-06-05T08:14:48Z,2019-06-05T08:15:16Z,0.533333333,0.365156,0.6846675,0.033196,0.033196,faucet,5
42,2019-06-05T08:15:44Z,2019-06-05T08:16:16Z,0.6,0.365156,0.608593333,0.033196,0.033196,faucet,5
43,2019-06-05T08:58:32Z,2019-06-05T09:01:16Z,2.8,4.547852,1.624232857,0.132784,0.099588,toilet,5
44,2019-06-05T09:02:28Z,2019-06-05T09:04:12Z,1.8,2.788464,1.549146667,0.099588,0.099588,toilet,5
45,2019-06-05T11:42:36Z,2019-06-05T11:43:52Z,1.333333333,1.726192,1.294644,0.099588,0.066392,faucet,5
46,2019-06-05T11:44:40Z,2019-06-05T11:44:52Z,0.266666667,0.132784,0.49794,0.033196,0.033196,faucet,5
47,2019-06-05T15:31:52Z,2019-06-05T15:33:08Z,1.333333333,1.82578,1.369335,0.099588,0.099588,toilet,5
48,2019-06-05T21:34:28Z,2019-06-05T21:44:04Z,9.666666667,25.89288,2.678573793,0.16598,0.16598,clotheswasher,5
49,2019-06-05T22:52:48Z,2019-06-05T22:53:52Z,1.133333333,1.062272,0.937298824,0.066392,0.033196,faucet,5
50,2019-06-06T00:21:12Z,2019-06-06T00:22:04Z,0.933333333,1.925368,2.062894286,0.199176,0.033196,faucet,5
51,2019-06-06T08:01:04Z,2019-06-06T08:01:52Z,0.866666667,1.261448,1.455516923,0.132784,0.066392,faucet,5
52,2019-06-06T08:02:00Z,2019-06-06T08:02:04Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet,5
53,2019-06-06T08:03:20Z,2019-06-06T08:03:44Z,0.466666667,0.398352,0.853611429,0.066392,0.033196,faucet,5
54,2019-06-06T08:06:20Z,2019-06-06T08:06:32Z,0.266666667,0.16598,0.622425,0.033196,0.033196,faucet,5
55,2019-06-06T08:29:08Z,2019-06-06T08:30:12Z,1.133333333,1.892172,1.669563529,0.132784,0.132784,toilet,5
56,2019-06-06T08:41:32Z,2019-06-06T08:43:20Z,1.866666667,2.82166,1.511603571,0.099588,0.099588,toilet,5
57,2019-06-06T10:11:36Z,2019-06-06T10:12:52Z,1.333333333,1.593408,1.195056,0.099588,0.033196,faucet,5
58,2019-06-06T12:28:12Z,2019-06-06T12:28:44Z,0.6,0.531136,0.885226667,0.066392,0.033196,faucet,5
59,2019-06-06T13:43:24Z,2019-06-06T13:44:44Z,1.4,1.925368,1.375262857,0.099588,0.099588,toilet,5
60,2019-06-06T13:57:00Z,2019-06-06T13:58:28Z,1.533333333,2.024956,1.320623478,0.099588,0.099588,toilet,5
61,2019-06-06T18:51:56Z,2019-06-06T18:53:08Z,1.266666667,1.925368,1.520027368,0.132784,0.033196,faucet,5
62,2019-06-06T18:53:20Z,2019-06-06T18:53:52Z,0.6,0.66392,1.106533333,0.099588,0.033196,faucet,5
63,2019-06-06T18:54:00Z,2019-06-06T18:54:44Z,0.8,0.697116,0.871395,0.066392,0.033196,faucet,5
64,2019-06-06T18:56:12Z,2019-06-06T18:56:32Z,0.4,0.265568,0.66392,0.033196,0.033196,faucet,5
65,2019-06-06T19:01:16Z,2019-06-06T19:10:08Z,8.933333333,23.436376,2.623474925,0.199176,0.16598,clotheswasher,5
66,2019-06-06T19:16:12Z,2019-06-06T19:17:40Z,1.533333333,2.356916,1.53711913,0.099588,0.099588,toilet,5
67,2019-06-06T19:17:48Z,2019-06-06T19:17:52Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet,5
68,2019-06-06T19:21:40Z,2019-06-06T19:23:20Z,1.733333333,3.419188,1.972608462,0.16598,0.132784,toilet,5
69,2019-06-06T19:26:28Z,2019-06-06T19:26:44Z,0.333333333,0.298764,0.896292,0.066392,0.033196,faucet,5
70,2019-06-06T19:27:40Z,2019-06-06T19:27:44Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet,5
71,2019-06-06T19:37:04Z,2019-06-06T19:39:04Z,2.066666667,3.186816,1.542007742,0.132784,0.099588,toilet,5
72,2019-06-06T19:39:12Z,2019-06-06T19:39:16Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet,5
73,2019-06-06T23:33:52Z,2019-06-06T23:34:08Z,0.333333333,0.199176,0.597528,0.033196,0.033196,faucet,5
74,2019-06-06T23:54:16Z,2019-06-06T23:55:12Z,1,1.759388,1.759388,0.16598,0.033196,faucet,5
75,2019-06-07T07:12:52Z,2019-06-07T07:13:40Z,0.866666667,1.527016,1.761941538,0.16598,0.132784,toilet,5
76,2019-06-07T11:10:56Z,2019-06-07T11:11:52Z,1,1.726192,1.726192,0.199176,0.033196,faucet,5
77,2019-06-07T16:19:56Z,2019-06-07T16:20:52Z,1,1.692996,1.692996,0.16598,0.033196,faucet,5
78,2019-06-07T18:46:52Z,2019-06-07T19:00:08Z,13.33333333,34.623428,2.5967571,0.16598,0.16598,shower,5
79,2019-06-07T20:17:44Z,2019-06-07T20:18:48Z,1.133333333,1.6598,1.464529412,0.132784,0.033196,faucet,5
80,2019-06-07T20:22:24Z,2019-06-07T20:22:36Z,0.266666667,0.16598,0.622425,0.033196,0.033196,faucet,5
81,2019-06-07T20:45:20Z,2019-06-07T20:46:36Z,1.333333333,2.290524,1.717893,0.132784,0.132784,toilet,5
82,2019-06-07T20:46:44Z,2019-06-07T20:46:48Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet,5
83,2019-06-07T20:56:52Z,2019-06-07T20:58:48Z,2,2.888052,1.444026,0.132784,0.099588,toilet,5
84,2019-06-07T21:45:00Z,2019-06-07T21:45:56Z,1,1.195056,1.195056,0.099588,0.033196,faucet,5
85,2019-06-07T21:48:12Z,2019-06-07T21:48:24Z,0.266666667,0.232372,0.871395,0.033196,0.033196,faucet,5
86,2019-06-07T22:12:52Z,2019-06-07T22:14:08Z,1.333333333,2.190936,1.643202,0.132784,0.132784,toilet,5
87,2019-06-07T22:26:08Z,2019-06-07T22:27:48Z,1.733333333,2.4897,1.436365385,0.099588,0.099588,toilet,5
88,2019-06-07T22:45:48Z,2019-06-07T22:47:00Z,1.266666667,1.16186,0.917257895,0.066392,0.033196,faucet,5
89,2019-06-07T22:47:08Z,2019-06-07T22:47:56Z,0.866666667,0.730312,0.842667692,0.066392,0.033196,faucet,5
90,2019-06-07T22:49:16Z,2019-06-07T22:49:32Z,0.333333333,0.199176,0.597528,0.033196,0.033196,faucet,5
91,2019-06-08T00:29:36Z,2019-06-08T00:30:28Z,0.933333333,2.058152,2.205162857,0.199176,0.199176,toilet,5
92,2019-06-08T00:30:36Z,2019-06-08T00:30:40Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet,5
93,2019-06-08T05:37:32Z,2019-06-08T07:37:32Z,120.0666667,350.151408,2.916308229,0.730312,0.16598,irrigation,5
94,2019-06-08T08:44:36Z,2019-06-08T08:46:28Z,1.933333333,4.249088,2.197804138,0.232372,0.033196,faucet,5
95,2019-06-08T08:46:44Z,2019-06-08T08:47:16Z,0.6,0.630724,1.051206667,0.099588,0.033196,faucet,5
96,2019-06-08T08:47:24Z,2019-06-08T08:47:52Z,0.533333333,0.49794,0.9336375,0.066392,0.033196,faucet,5
97,2019-06-08T08:48:00Z,2019-06-08T08:48:04Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet,5
98,2019-06-08T08:48:36Z,2019-06-08T08:48:52Z,0.333333333,0.298764,0.896292,0.066392,0.033196,faucet,5
99,2019-06-08T08:49:00Z,2019-06-08T08:49:04Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet,5
100,2019-06-08T09:14:40Z,2019-06-08T09:15:20Z,0.733333333,0.730312,0.99588,0.099588,0.033196,faucet,5
101,2019-06-08T09:15:40Z,2019-06-08T09:16:04Z,0.466666667,0.398352,0.853611429,0.066392,0.033196,faucet,5
102,2019-06-08T09:16:20Z,2019-06-08T09:16:48Z,0.533333333,0.398352,0.74691,0.033196,0.033196,faucet,5
103,2019-06-08T09:18:56Z,2019-06-08T09:19:08Z,0.266666667,0.132784,0.49794,0.033196,0.033196,faucet,5
104,2019-06-08T09:25:20Z,2019-06-08T09:26:20Z,1.066666667,1.062272,0.99588,0.066392,0.066392,faucet,5
105,2019-06-08T09:29:12Z,2019-06-08T09:30:20Z,1.2,1.195056,0.99588,0.066392,0.033196,faucet,5
106,2019-06-08T09:33:12Z,2019-06-08T09:34:20Z,1.2,1.228252,1.0235433330000001,0.066392,0.033196,faucet,5
107,2019-06-08T09:36:24Z,2019-06-08T09:36:40Z,0.333333333,0.16598,0.49794,0.033196,0.033196,faucet,5
108,2019-06-08T09:36:48Z,2019-06-08T09:37:32Z,0.8,0.564332,0.705415,0.033196,0.033196,faucet,5
109,2019-06-08T09:37:40Z,2019-06-08T09:38:32Z,0.933333333,0.66392,0.711342857,0.066392,0.033196,faucet,5
110,2019-06-08T09:48:12Z,2019-06-08T09:50:48Z,2.666666667,5.31136,1.99176,0.16598,0.16598,shower,5
111,2019-06-08T10:38:04Z,2019-06-08T10:41:08Z,3.133333333,4.448264,1.419658723,0.099588,0.099588,faucet,5
112,2019-06-08T13:51:52Z,2019-06-08T13:53:00Z,1.2,1.593408,1.32784,0.099588,0.066392,faucet,5
113,2019-06-08T15:06:04Z,2019-06-08T15:07:12Z,1.2,1.593408,1.32784,0.099588,0.099588,toilet,5
114,2019-06-08T16:17:00Z,2019-06-08T16:17:16Z,0.333333333,0.49794,1.49382,0.066392,0.066392,faucet,5
115,2019-06-08T16:48:08Z,2019-06-08T16:49:28Z,1.4,1.892172,1.351551429,0.099588,0.099588,toilet,5
116,2019-06-08T16:56:40Z,2019-06-08T16:56:44Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet,5
