X1,StartTime,EndTime,Duration,OriginalVolume,OriginalFlowRate,Peak_Value,Mode_Value,Label,Site
0,2019-04-01T14:44:15Z,2019-04-01T14:44:23Z,0.2,0.431548,2.15774,0.099588,0.099588,faucet,2
1,2019-04-01T15:35:35Z,2019-04-01T15:36:23Z,0.866666667,1.626604,1.876850769,0.132784,0.099588,toilet,2
2,2019-04-01T15:44:11Z,2019-04-01T15:46:43Z,2.6,5.676516,2.183275385,0.199176,0.132784,shower,2
3,2019-04-01T15:46:59Z,2019-04-01T15:47:15Z,0.333333333,0.929488,2.788464,0.16598,0.132784,faucet,2
4,2019-04-01T15:47:55Z,2019-04-01T15:47:55Z,0.066666667,0.066392,0.99588,0.066392,0.066392,faucet,2
5,2019-04-01T15:55:19Z,2019-04-01T15:55:23Z,0.133333333,0.298764,2.24073,0.066392,0.033196,faucet,2
6,2019-04-01T15:56:59Z,2019-04-01T15:57:19Z,0.4,0.730312,1.82578,0.132784,0.066392,faucet,2
7,2019-04-01T17:46:19Z,2019-04-01T17:47:07Z,0.866666667,2.290524,2.642912308,0.199176,0.16598,toilet,2
8,2019-04-01T18:38:51Z,2019-04-01T18:39:31Z,0.733333333,1.560212,2.127561818,0.16598,0.132784,toilet,2
9,2019-04-01T18:39:55Z,2019-04-01T18:40:19Z,0.466666667,0.730312,1.564954286,0.099588,0.066392,faucet,2
10,2019-04-01T18:40:43Z,2019-04-01T18:41:03Z,0.4,0.730312,1.82578,0.132784,0.099588,faucet,2
11,2019-04-01T18:41:31Z,2019-04-01T18:41:43Z,0.266666667,0.564332,2.116245,0.099588,0.099588,faucet,2
12,2019-04-01T18:43:11Z,2019-04-01T18:43:15Z,0.133333333,0.298764,2.24073,0.099588,0.033196,faucet,2
13,2019-04-01T18:43:43Z,2019-04-01T18:43:43Z,0.066666667,0.265568,3.98352,0.066392,0.066392,irrigation,2
14,2019-04-01T18:46:15Z,2019-04-01T18:47:15Z,1.066666667,2.755268,2.58306375,0.199176,0.199176,toilet,2
15,2019-04-01T19:40:35Z,2019-04-01T19:40:55Z,0.4,0.730312,1.82578,0.099588,0.099588,faucet,2
16,2019-04-01T19:41:03Z,2019-04-01T19:41:11Z,0.2,0.365156,1.82578,0.099588,0.033196,faucet,2
17,2019-04-02T04:49:39Z,2019-04-02T04:50:07Z,0.533333333,0.896292,1.6805475,0.099588,0.099588,faucet,2
18,2019-04-02T04:52:27Z,2019-04-02T04:52:43Z,0.333333333,0.730312,2.190936,0.16598,0.066392,faucet,2
19,2019-04-02T06:55:03Z,2019-04-02T07:02:47Z,7.8,28.780932,3.689863077,0.232372,0.232372,clotheswasher,2
20,2019-04-02T08:21:31Z,2019-04-02T08:21:55Z,0.466666667,1.361036,2.916505714,0.232372,0.199176,toilet,2
21,2019-04-02T08:23:23Z,2019-04-02T08:23:51Z,0.533333333,1.16186,2.1784875,0.132784,0.132784,faucet,2
22,2019-04-02T08:29:55Z,2019-04-02T08:29:59Z,0.133333333,0.49794,3.73455,0.16598,0.066392,faucet,2
23,2019-04-02T08:31:07Z,2019-04-02T08:31:47Z,0.733333333,1.228252,1.674889091,0.099588,0.066392,faucet,2
24,2019-04-02T08:35:31Z,2019-04-02T08:35:47Z,0.333333333,0.531136,1.593408,0.132784,0.099588,faucet,2
