X1,StartTime,EndTime,Duration,OriginalVolume,OriginalFlowRate,Peak_Value,Mode_Value,Label
0,2019-08-30T08:28:08Z,2019-08-30T08:28:12Z,0.133333333,0.132784,0.99588,0.066392,0.033196,faucet
1,2019-08-30T08:28:24Z,2019-08-30T08:28:28Z,0.133333333,0.16598,1.24485,0.066392,0.033196,faucet
2,2019-08-30T08:30:20Z,2019-08-30T08:30:24Z,0.133333333,0.132784,0.99588,0.099588,0.033196,faucet
3,2019-08-30T10:02:24Z,2019-08-30T10:02:32Z,0.2,0.232372,1.16186,0.066392,0.033196,faucet
4,2019-08-30T10:04:52Z,2019-08-30T10:05:32Z,0.733333333,0.597528,0.814810909,0.033196,0.033196,faucet
5,2019-08-30T10:05:40Z,2019-08-30T10:05:44Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet
6,2019-08-30T11:20:48Z,2019-08-30T11:20:56Z,0.2,0.132784,0.66392,0.033196,0.033196,faucet
7,2019-08-30T11:25:16Z,2019-08-30T11:25:20Z,0.133333333,0.16598,1.24485,0.066392,0.033196,faucet
8,2019-08-30T11:27:56Z,2019-08-30T11:28:04Z,0.2,0.199176,0.99588,0.066392,0.033196,faucet
9,2019-08-30T12:00:08Z,2019-08-30T12:00:16Z,0.2,0.132784,0.66392,0.033196,0.033196,faucet
10,2019-08-30T12:00:44Z,2019-08-30T12:00:48Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet
11,2019-08-30T12:01:28Z,2019-08-30T12:01:48Z,0.4,0.630724,1.57681,0.132784,0.066392,faucet
12,2019-08-30T12:04:08Z,2019-08-30T12:04:12Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet
13,2019-08-30T12:06:28Z,2019-08-30T12:06:32Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet
14,2019-08-30T12:08:36Z,2019-08-30T12:08:40Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet
15,2019-08-30T12:10:36Z,2019-08-30T12:10:40Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet
16,2019-08-30T12:17:52Z,2019-08-30T12:17:56Z,0.133333333,0.099588,0.74691,0.066392,0.033196,faucet
17,2019-08-30T12:39:28Z,2019-08-30T12:39:32Z,0.133333333,0.132784,0.99588,0.033196,0.033196,faucet
18,2019-08-30T12:56:04Z,2019-08-30T12:56:08Z,0.133333333,0.132784,0.99588,0.066392,0.033196,faucet
19,2019-08-30T12:57:40Z,2019-08-30T12:59:52Z,2.266666667,2.82166,1.24485,0.099588,0.066392,faucet
20,2019-08-30T13:33:08Z,2019-08-30T13:33:12Z,0.133333333,0.099588,0.74691,0.033196,0.033196,faucet
21,2019-08-30T13:33:44Z,2019-08-30T13:33:48Z,0.133333333,0.099588,0.74691,0.066392,0.033196,faucet
22,2019-08-30T15:49:24Z,2019-08-30T15:50:44Z,1.4,3.917128,2.797948571,0.16598,0.16598,toilet
23,2019-08-30T15:51:48Z,2019-08-30T15:53:32Z,1.8,2.091348,1.16186,0.066392,0.066392,faucet
24,2019-08-30T16:44:24Z,2019-08-30T16:46:40Z,2.333333333,2.788464,1.195056,0.099588,0.066392,faucet
25,2019-08-30T17:10:16Z,2019-08-30T17:10:20Z,0.133333333,0.099588,0.74691,0.066392,0.033196,faucet
26,2019-08-30T17:11:56Z,2019-08-30T17:12:00Z,0.133333333,0.099588,0.74691,0.033196,0.033196,faucet
27,2019-08-30T17:24:28Z,2019-08-30T17:24:32Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet
28,2019-08-30T17:25:08Z,2019-08-30T17:25:20Z,0.266666667,0.16598,0.622425,0.033196,0.033196,faucet
29,2019-08-30T17:34:32Z,2019-08-30T17:34:40Z,0.2,0.16598,0.8299,0.033196,0.033196,faucet
30,2019-08-30T17:35:44Z,2019-08-30T17:35:48Z,0.133333333,0.16598,1.24485,0.066392,0.033196,faucet
31,2019-08-30T17:37:56Z,2019-08-30T17:38:00Z,0.133333333,0.099588,0.74691,0.066392,0.033196,faucet
32,2019-08-30T18:01:20Z,2019-08-30T18:01:28Z,0.2,0.232372,1.16186,0.066392,0.066392,faucet
33,2019-08-30T18:07:04Z,2019-08-30T18:07:12Z,0.2,0.232372,1.16186,0.066392,0.033196,faucet
34,2019-08-30T18:07:40Z,2019-08-30T18:08:04Z,0.466666667,0.66392,1.422685714,0.099588,0.066392,faucet
35,2019-08-30T18:08:12Z,2019-08-30T18:08:16Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet
36,2019-08-30T18:08:32Z,2019-08-30T18:08:36Z,0.133333333,0.199176,1.49382,0.066392,0.033196,faucet
37,2019-08-30T18:08:56Z,2019-08-30T18:09:00Z,0.133333333,0.232372,1.74279,0.066392,0.033196,faucet
38,2019-08-30T18:09:56Z,2019-08-30T18:10:00Z,0.133333333,0.132784,0.99588,0.066392,0.033196,faucet
39,2019-08-30T18:37:52Z,2019-08-30T18:38:00Z,0.2,0.099588,0.49794,0.033196,0.033196,faucet
40,2019-08-30T18:51:16Z,2019-08-30T18:51:20Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet
41,2019-08-30T18:54:40Z,2019-08-30T18:54:44Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet
42,2019-08-30T19:37:40Z,2019-08-30T19:37:48Z,0.2,0.199176,0.99588,0.066392,0.033196,faucet
43,2019-08-31T05:48:32Z,2019-08-31T05:49:48Z,1.333333333,3.883932,2.912949,0.199176,0.16598,toilet
44,2019-08-31T05:50:52Z,2019-08-31T05:50:56Z,0.133333333,0.298764,2.24073,0.099588,0.033196,faucet
