X1,StartTime,EndTime,Duration,OriginalVolume,OriginalFlowRate,Peak_Value,Mode_Value,Label
0,2020-08-12T09:41:17Z,2020-08-12T09:48:05Z,6.866666667,53.003007,7.718884515,0.539338,0.513241,irrigation
1,2020-08-12T10:09:49Z,2020-08-12T10:09:57Z,0.2,0.08699,0.43495,0.026097,0.008699,faucet
2,2020-08-12T10:41:13Z,2020-08-12T10:41:17Z,0.133333333,0.034796,0.26097,0.017398,0.008699,faucet
3,2020-08-12T10:45:25Z,2020-08-12T10:45:37Z,0.266666667,0.217475,0.81553125,0.060893,0.017398,faucet
4,2020-08-12T12:04:45Z,2020-08-12T12:05:01Z,0.333333333,1.104773,3.314319,0.243572,0.095689,toilet
5,2020-08-12T12:05:13Z,2020-08-12T12:05:45Z,0.6,2.070362,3.450603333,0.26097,0.234873,toilet
6,2020-08-12T12:12:13Z,2020-08-12T12:12:21Z,0.2,0.078291,0.391455,0.017398,0.017398,faucet
7,2020-08-12T12:35:29Z,2020-08-12T12:36:09Z,0.733333333,2.044265,2.787634091,0.295766,0.052194,toilet
8,2020-08-12T12:37:21Z,2020-08-12T12:37:29Z,0.2,0.08699,0.43495,0.026097,0.008699,faucet
9,2020-08-12T12:38:41Z,2020-08-12T12:38:49Z,0.2,0.08699,0.43495,0.026097,0.026097,faucet
10,2020-08-12T12:45:49Z,2020-08-12T12:45:57Z,0.2,0.08699,0.43495,0.017398,0.017398,faucet
11,2020-08-12T14:37:49Z,2020-08-12T14:38:21Z,0.6,2.226944,3.711573333,0.26097,0.26097,toilet
12,2020-08-12T14:38:49Z,2020-08-12T14:39:13Z,0.466666667,1.878984,4.026394286,0.287067,0.278368,toilet
13,2020-08-12T14:43:29Z,2020-08-12T14:43:45Z,0.333333333,0.504542,1.513626,0.121786,0.034796,faucet
14,2020-08-12T14:46:09Z,2020-08-12T14:47:29Z,1.4,4.593072,3.280765714,0.339261,0.226174,bathtub
15,2020-08-12T14:47:37Z,2020-08-12T14:47:41Z,0.133333333,0.069592,0.52194,0.043495,0.017398,faucet
16,2020-08-12T14:48:53Z,2020-08-12T14:49:17Z,0.466666667,1.731101,3.709502143,0.26097,0.095689,toilet
17,2020-08-12T15:00:29Z,2020-08-12T15:00:41Z,0.266666667,0.52194,1.957275,0.113087,0.113087,faucet
18,2020-08-12T15:06:29Z,2020-08-12T15:06:33Z,0.133333333,0.043495,0.3262125,0.017398,0.008699,faucet
19,2020-08-12T15:07:49Z,2020-08-12T15:07:53Z,0.133333333,0.078291,0.5871825,0.026097,0.008699,faucet
20,2020-08-12T15:14:49Z,2020-08-12T15:14:53Z,0.133333333,0.208776,1.56582,0.060893,0.026097,faucet
21,2020-08-12T15:19:53Z,2020-08-12T15:19:57Z,0.133333333,0.08699,0.652425,0.026097,0.008699,faucet
22,2020-08-12T15:23:29Z,2020-08-12T15:23:33Z,0.133333333,0.156582,1.174365,0.069592,0.034796,faucet
23,2020-08-12T15:23:45Z,2020-08-12T15:23:53Z,0.2,0.078291,0.391455,0.026097,0.026097,faucet
24,2020-08-12T15:24:37Z,2020-08-12T15:24:41Z,0.133333333,0.095689,0.7176675,0.034796,0.017398,faucet
25,2020-08-12T15:27:13Z,2020-08-12T15:27:17Z,0.133333333,0.121786,0.913395,0.052194,0.026097,faucet
26,2020-08-12T15:27:45Z,2020-08-12T15:31:05Z,3.4,7.185374,2.113345294,0.139184,0.139184,shower
27,2020-08-12T16:32:29Z,2020-08-12T16:33:09Z,0.733333333,1.435335,1.957275,0.130485,0.130485,faucet
28,2020-08-12T16:36:41Z,2020-08-12T16:37:09Z,0.533333333,1.896382,3.55571625,0.278368,0.278368,toilet
29,2020-08-12T16:37:29Z,2020-08-12T16:37:37Z,0.2,0.330562,1.65281,0.095689,0.043495,faucet
30,2020-08-12T16:39:49Z,2020-08-12T16:39:53Z,0.133333333,0.069592,0.52194,0.026097,0.008699,faucet
31,2020-08-12T16:49:49Z,2020-08-12T16:50:01Z,0.266666667,0.374057,1.40271375,0.104388,0.043495,faucet
32,2020-08-12T17:11:53Z,2020-08-12T17:11:57Z,0.133333333,0.147883,1.1091225,0.034796,0.017398,faucet
33,2020-08-12T17:13:05Z,2020-08-12T17:13:21Z,0.333333333,0.365358,1.096074,0.08699,0.026097,faucet
34,2020-08-12T17:48:09Z,2020-08-12T17:48:13Z,0.133333333,0.034796,0.26097,0.017398,0.008699,faucet
35,2020-08-12T19:34:57Z,2020-08-12T19:35:21Z,0.466666667,1.731101,3.709502143,0.26097,0.095689,toilet
36,2020-08-12T19:36:25Z,2020-08-12T19:36:53Z,0.533333333,1.905081,3.572026875,0.304465,0.287067,toilet
37,2020-08-12T19:37:37Z,2020-08-12T19:37:53Z,0.333333333,0.443649,1.330947,0.095689,0.069592,faucet
38,2020-08-12T19:40:57Z,2020-08-12T19:41:05Z,0.2,0.147883,0.739415,0.060893,0.017398,faucet
39,2020-08-12T19:41:49Z,2020-08-12T19:42:17Z,0.533333333,1.757198,3.29474625,0.269669,0.069592,toilet
40,2020-08-12T19:45:37Z,2020-08-12T19:46:09Z,0.6,0.765512,1.275853333,0.095689,0.078291,faucet
41,2020-08-12T19:46:33Z,2020-08-12T19:46:37Z,0.133333333,0.130485,0.9786375,0.043495,0.017398,faucet
42,2020-08-12T19:50:05Z,2020-08-12T19:50:21Z,0.333333333,0.365358,1.096074,0.078291,0.069592,faucet
43,2020-08-12T19:51:25Z,2020-08-12T19:51:29Z,0.133333333,0.113087,0.8481525,0.052194,0.026097,faucet
44,2020-08-12T19:53:49Z,2020-08-12T19:53:57Z,0.2,0.08699,0.43495,0.026097,0.008699,faucet
45,2020-08-12T20:02:01Z,2020-08-12T20:02:05Z,0.133333333,0.043495,0.3262125,0.017398,0.008699,faucet
46,2020-08-12T20:05:09Z,2020-08-12T20:05:37Z,0.533333333,1.931178,3.62095875,0.252271,0.252271,toilet
47,2020-08-12T20:08:29Z,2020-08-12T20:08:45Z,0.333333333,0.548037,1.644111,0.121786,0.034796,faucet
48,2020-08-12T20:09:29Z,2020-08-12T20:09:49Z,0.4,0.182679,0.4566975,0.026097,0.026097,faucet
49,2020-08-12T20:10:05Z,2020-08-12T20:10:17Z,0.266666667,0.130485,0.48931875,0.026097,0.026097,faucet
50,2020-08-12T20:11:01Z,2020-08-12T20:11:13Z,0.266666667,0.426251,1.59844125,0.113087,0.052194,faucet
51,2020-08-12T20:12:01Z,2020-08-12T20:12:17Z,0.333333333,0.165281,0.495843,0.026097,0.026097,faucet
52,2020-08-12T20:13:17Z,2020-08-12T20:22:53Z,9.666666667,161.19247,16.6750831,1.174365,1.113472,irrigation
53,2020-08-12T20:23:01Z,2020-08-12T20:32:57Z,10,182.252749,18.2252749,1.226559,1.226559,irrigation
54,2020-08-12T20:33:05Z,2020-08-12T20:52:57Z,19.93333333,283.361226,14.21544612,0.974288,0.974288,irrigation
55,2020-08-12T21:21:25Z,2020-08-12T21:21:29Z,0.133333333,0.060893,0.4566975,0.017398,0.008699,faucet
56,2020-08-12T22:29:37Z,2020-08-12T22:29:41Z,0.133333333,0.043495,0.3262125,0.017398,0.008699,faucet
57,2020-08-12T22:37:41Z,2020-08-12T22:38:13Z,0.6,2.113857,3.523095,0.252271,0.252271,toilet
58,2020-08-12T22:38:21Z,2020-08-12T22:38:49Z,0.533333333,2.00077,3.75144375,0.252271,0.252271,toilet
59,2020-08-12T23:09:45Z,2020-08-12T23:10:13Z,0.533333333,1.713703,3.213193125,0.252271,0.252271,toilet
60,2020-08-12T23:16:01Z,2020-08-12T23:16:29Z,0.533333333,1.939877,3.637269375,0.252271,0.252271,toilet
61,2020-08-13T03:44:01Z,2020-08-13T03:44:29Z,0.533333333,1.948576,3.65358,0.313164,0.060893,toilet
62,2020-08-13T03:44:37Z,2020-08-13T03:45:37Z,1.066666667,1.296151,1.215141563,0.078291,0.078291,faucet
63,2020-08-13T03:55:25Z,2020-08-13T03:55:53Z,0.533333333,1.82679,3.42523125,0.252271,0.252271,toilet
64,2020-08-13T03:57:21Z,2020-08-13T03:57:49Z,0.533333333,0.461047,0.864463125,0.078291,0.043495,faucet
65,2020-08-13T04:06:17Z,2020-08-13T04:06:25Z,0.2,0.287067,1.435335,0.078291,0.078291,faucet
66,2020-08-13T04:10:33Z,2020-08-13T04:11:05Z,0.6,1.983372,3.30562,0.252271,0.252271,toilet
67,2020-08-13T04:38:13Z,2020-08-13T04:38:17Z,0.133333333,0.08699,0.652425,0.026097,0.008699,faucet
68,2020-08-13T04:47:05Z,2020-08-13T04:47:09Z,0.133333333,0.069592,0.52194,0.026097,0.008699,faucet
69,2020-08-13T05:31:49Z,2020-08-13T05:32:05Z,0.333333333,0.60893,1.82679,0.139184,0.034796,faucet
70,2020-08-13T05:33:53Z,2020-08-13T05:34:05Z,0.266666667,0.548037,2.05513875,0.139184,0.052194,faucet
71,2020-08-13T05:35:33Z,2020-08-13T05:35:49Z,0.333333333,1.113472,3.340416,0.234873,0.208776,toilet
72,2020-08-13T05:36:05Z,2020-08-13T05:36:41Z,0.666666667,1.435335,2.1530025,0.156582,0.156582,toilet
73,2020-08-13T05:41:21Z,2020-08-13T05:41:33Z,0.266666667,0.513241,1.92465375,0.139184,0.043495,faucet
74,2020-08-13T05:42:21Z,2020-08-13T05:42:25Z,0.133333333,0.034796,0.26097,0.017398,0.008699,faucet
75,2020-08-13T05:42:41Z,2020-08-13T05:43:09Z,0.533333333,1.731101,3.245814375,0.26097,0.078291,toilet
76,2020-08-13T05:43:33Z,2020-08-13T05:43:57Z,0.466666667,1.444034,3.094358571,0.252271,0.078291,toilet
77,2020-08-13T05:54:49Z,2020-08-13T05:55:17Z,0.533333333,1.791994,3.35998875,0.252271,0.252271,toilet
78,2020-08-13T05:55:53Z,2020-08-13T05:56:05Z,0.266666667,0.130485,0.48931875,0.026097,0.026097,faucet
79,2020-08-13T05:57:29Z,2020-08-13T05:58:01Z,0.6,1.148268,1.91378,0.130485,0.130485,faucet
80,2020-08-13T06:00:37Z,2020-08-13T06:00:49Z,0.266666667,0.495843,1.85941125,0.121786,0.052194,faucet
81,2020-08-13T06:03:01Z,2020-08-13T06:03:13Z,0.266666667,0.113087,0.42407625,0.026097,0.017398,faucet
82,2020-08-13T06:03:49Z,2020-08-13T06:03:57Z,0.2,0.313164,1.56582,0.08699,0.08699,faucet
83,2020-08-13T06:05:29Z,2020-08-13T06:05:37Z,0.2,0.08699,0.43495,0.026097,0.008699,faucet
84,2020-08-13T06:21:49Z,2020-08-13T06:34:09Z,12.4,29.14165,2.350133065,0.156582,0.156582,clotheswasher
85,2020-08-13T06:36:29Z,2020-08-13T06:36:41Z,0.266666667,0.487144,1.82679,0.121786,0.121786,faucet
86,2020-08-13T07:10:57Z,2020-08-13T07:51:01Z,40.13333333,638.384814,15.90659836,1.226559,1.113472,irrigation
87,2020-08-13T08:17:49Z,2020-08-13T08:18:25Z,0.666666667,0.765512,1.148268,0.08699,0.069592,faucet
88,2020-08-13T08:30:05Z,2020-08-13T08:30:09Z,0.133333333,0.060893,0.4566975,0.017398,0.008699,faucet
89,2020-08-13T08:31:29Z,2020-08-13T08:31:37Z,0.2,0.287067,1.435335,0.095689,0.026097,faucet
90,2020-08-13T08:32:29Z,2020-08-13T08:32:33Z,0.133333333,0.217475,1.6310625,0.069592,0.034796,faucet
91,2020-08-13T08:35:53Z,2020-08-13T08:36:01Z,0.2,0.17398,0.8699,0.043495,0.043495,faucet
92,2020-08-13T08:36:57Z,2020-08-13T08:37:01Z,0.133333333,0.052194,0.391455,0.017398,0.008699,faucet
93,2020-08-13T08:39:01Z,2020-08-13T08:40:29Z,1.533333333,1.504927,0.98147413,0.095689,0.052194,faucet
94,2020-08-13T08:43:57Z,2020-08-13T08:44:05Z,0.2,0.156582,0.78291,0.043495,0.017398,faucet
95,2020-08-13T08:47:05Z,2020-08-13T08:47:13Z,0.2,0.078291,0.391455,0.017398,0.017398,faucet
96,2020-08-13T08:47:45Z,2020-08-13T08:47:57Z,0.266666667,0.147883,0.55456125,0.034796,0.034796,faucet
97,2020-08-13T08:48:13Z,2020-08-13T08:48:25Z,0.266666667,0.113087,0.42407625,0.026097,0.017398,faucet
98,2020-08-13T08:49:29Z,2020-08-13T08:49:41Z,0.266666667,0.452348,1.696305,0.130485,0.095689,faucet
99,2020-08-13T08:50:09Z,2020-08-13T08:50:13Z,0.133333333,0.182679,1.3700925,0.052194,0.026097,faucet
100,2020-08-13T08:50:29Z,2020-08-13T08:50:33Z,0.133333333,0.208776,1.56582,0.08699,0.043495,faucet
101,2020-08-13T08:55:45Z,2020-08-13T08:56:13Z,0.533333333,1.852887,3.474163125,0.26097,0.08699,toilet
102,2020-08-13T09:16:25Z,2020-08-13T09:16:45Z,0.4,1.139569,2.8489225,0.234873,0.234873,toilet
103,2020-08-13T12:10:01Z,2020-08-13T12:10:29Z,0.533333333,1.82679,3.42523125,0.26097,0.243572,toilet
104,2020-08-13T12:13:21Z,2020-08-13T12:24:05Z,10.8,86.876913,8.044158611,0.539338,0.539338,irrigation
105,2020-08-13T12:25:17Z,2020-08-13T12:25:41Z,0.466666667,0.817706,1.752227143,0.121786,0.113087,faucet
106,2020-08-13T12:26:13Z,2020-08-13T12:26:25Z,0.266666667,0.287067,1.07650125,0.078291,0.052194,faucet
107,2020-08-13T12:27:57Z,2020-08-13T12:28:05Z,0.2,0.356659,1.783295,0.104388,0.052194,faucet
108,2020-08-13T12:30:49Z,2020-08-13T12:30:53Z,0.133333333,0.17398,1.30485,0.078291,0.034796,faucet
109,2020-08-13T12:33:53Z,2020-08-13T12:34:17Z,0.466666667,0.887298,1.901352857,0.130485,0.130485,faucet
110,2020-08-13T12:36:37Z,2020-08-13T12:36:53Z,0.333333333,0.130485,0.391455,0.026097,0.017398,faucet
111,2020-08-13T12:47:41Z,2020-08-13T12:48:01Z,0.4,1.496228,3.74057,0.252271,0.104388,toilet
112,2020-08-13T12:48:13Z,2020-08-13T12:48:45Z,0.6,0.661124,1.101873333,0.069592,0.069592,faucet
113,2020-08-13T12:54:09Z,2020-08-13T12:54:29Z,0.4,0.34796,0.8699,0.069592,0.043495,faucet
114,2020-08-13T12:54:45Z,2020-08-13T12:54:53Z,0.2,0.243572,1.21786,0.078291,0.026097,faucet
115,2020-08-13T12:55:53Z,2020-08-13T12:55:57Z,0.133333333,0.139184,1.04388,0.043495,0.017398,faucet
116,2020-08-13T12:56:09Z,2020-08-13T12:56:13Z,0.133333333,0.113087,0.8481525,0.052194,0.026097,faucet
117,2020-08-13T13:07:17Z,2020-08-13T13:07:21Z,0.133333333,0.226174,1.696305,0.08699,0.043495,faucet
118,2020-08-13T13:11:01Z,2020-08-13T13:11:05Z,0.133333333,0.147883,1.1091225,0.060893,0.026097,faucet
119,2020-08-13T13:16:13Z,2020-08-13T13:16:21Z,0.2,0.078291,0.391455,0.017398,0.017398,faucet
120,2020-08-13T13:43:49Z,2020-08-13T13:44:17Z,0.533333333,1.04388,1.957275,0.130485,0.121786,faucet
121,2020-08-13T13:47:29Z,2020-08-13T13:47:37Z,0.2,0.226174,1.13087,0.078291,0.017398,faucet
122,2020-08-13T14:35:09Z,2020-08-13T14:35:41Z,0.6,1.931178,3.21863,0.26097,0.252271,toilet
123,2020-08-13T14:37:29Z,2020-08-13T14:38:29Z,1.066666667,2.26174,2.12038125,0.287067,0.078291,shower
124,2020-08-13T15:51:09Z,2020-08-13T15:51:21Z,0.266666667,0.426251,1.59844125,0.113087,0.026097,faucet
125,2020-08-13T15:52:25Z,2020-08-13T15:52:33Z,0.2,0.095689,0.478445,0.026097,0.026097,faucet
126,2020-08-13T15:57:01Z,2020-08-13T15:57:37Z,0.666666667,2.313934,3.470901,0.313164,0.139184,toilet
127,2020-08-13T16:13:13Z,2020-08-13T16:14:05Z,0.933333333,3.575289,3.830666786,0.26097,0.26097,toilet
128,2020-08-13T17:25:01Z,2020-08-13T17:25:09Z,0.2,0.08699,0.43495,0.017398,0.017398,faucet
129,2020-08-13T17:27:01Z,2020-08-13T17:27:33Z,0.6,1.965974,3.276623333,0.278368,0.034796,toilet
