X1,StartTime,EndTime,Duration,OriginalVolume,OriginalFlowRate,Peak_Value,Mode_Value,Label
0,2019-10-14T12:27:56Z,2019-10-14T12:28:20Z,0.466666667,0.582666,1.24857,0.083238,0.041619,faucet
1,2019-10-14T12:32:52Z,2019-10-14T12:33:44Z,0.933333333,1.956093,2.095813929,0.166476,0.083238,toilet
2,2019-10-14T12:35:24Z,2019-10-14T12:35:52Z,0.533333333,1.498284,2.8092825,0.208095,0.208095,toilet
3,2019-10-14T13:23:12Z,2019-10-14T13:24:36Z,1.466666667,5.701803,3.887592955,0.291333,0.291333,clotheswasher
4,2019-10-14T13:24:44Z,2019-10-14T13:25:00Z,0.333333333,1.123713,3.371139,0.249714,0.166476,toilet
5,2019-10-14T13:25:08Z,2019-10-14T13:25:12Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet
6,2019-10-14T13:26:08Z,2019-10-14T13:26:24Z,0.333333333,0.541047,1.623141,0.124857,0.041619,faucet
7,2019-10-14T13:34:00Z,2019-10-14T13:34:16Z,0.333333333,0.457809,1.373427,0.083238,0.041619,faucet
8,2019-10-14T13:48:00Z,2019-10-14T13:48:24Z,0.466666667,0.957237,2.051222143,0.166476,0.083238,faucet
9,2019-10-14T13:50:52Z,2019-10-14T13:51:08Z,0.333333333,0.665904,1.997712,0.124857,0.083238,faucet
10,2019-10-14T13:53:40Z,2019-10-14T13:54:00Z,0.4,0.665904,1.66476,0.124857,0.041619,faucet
11,2019-10-14T13:56:24Z,2019-10-14T13:56:48Z,0.466666667,0.707523,1.516120714,0.166476,0.041619,faucet
12,2019-10-14T13:59:28Z,2019-10-14T13:59:44Z,0.333333333,0.707523,2.122569,0.124857,0.124857,faucet
13,2019-10-14T14:02:28Z,2019-10-14T14:02:48Z,0.4,0.707523,1.7688075,0.124857,0.041619,faucet
14,2019-10-14T14:11:00Z,2019-10-14T14:11:36Z,0.666666667,1.623141,2.4347115,0.208095,0.166476,toilet
15,2019-10-14T14:55:44Z,2019-10-14T15:01:24Z,5.733333333,14.816364,2.584249535,0.208095,0.166476,shower
16,2019-10-14T15:04:52Z,2019-10-14T15:05:52Z,1.066666667,3.912186,3.667674375,0.291333,0.291333,toilet
17,2019-10-14T15:06:16Z,2019-10-14T15:06:36Z,0.4,0.915618,2.289045,0.208095,0.041619,faucet
18,2019-10-14T15:10:04Z,2019-10-14T15:12:44Z,2.733333333,7.949229,2.908254512,0.208095,0.208095,clotheswasher
19,2019-10-14T15:14:48Z,2019-10-14T15:15:00Z,0.266666667,0.41619,1.5607125,0.124857,0.041619,faucet
20,2019-10-14T15:28:32Z,2019-10-14T15:28:44Z,0.266666667,0.41619,1.5607125,0.083238,0.041619,faucet
21,2019-10-14T15:31:04Z,2019-10-14T15:31:16Z,0.266666667,0.291333,1.09249875,0.041619,0.041619,faucet
22,2019-10-14T15:33:40Z,2019-10-14T15:33:52Z,0.266666667,0.291333,1.09249875,0.041619,0.041619,faucet
23,2019-10-14T15:36:12Z,2019-10-14T15:36:24Z,0.266666667,0.291333,1.09249875,0.041619,0.041619,faucet
24,2019-10-14T15:38:56Z,2019-10-14T15:39:08Z,0.266666667,0.249714,0.9364275,0.041619,0.041619,faucet
25,2019-10-14T15:41:40Z,2019-10-14T15:41:52Z,0.266666667,0.249714,0.9364275,0.041619,0.041619,faucet
26,2019-10-14T16:28:40Z,2019-10-14T16:29:16Z,0.666666667,1.456665,2.1849975,0.166476,0.166476,toilet
27,2019-10-14T17:49:32Z,2019-10-14T17:50:08Z,0.666666667,1.581522,2.372283,0.249714,0.208095,toilet
28,2019-10-14T17:51:00Z,2019-10-14T17:51:08Z,0.2,0.208095,1.040475,0.083238,0.041619,faucet
29,2019-10-14T18:18:44Z,2019-10-14T18:21:40Z,3,3.74571,1.24857,0.083238,0.083238,faucet
30,2019-10-14T18:48:08Z,2019-10-14T18:48:20Z,0.266666667,0.291333,1.09249875,0.041619,0.041619,faucet
31,2019-10-14T18:49:40Z,2019-10-14T18:51:00Z,1.4,5.743422,4.102444286,0.291333,0.291333,clotheswasher
32,2019-10-14T18:51:16Z,2019-10-14T18:51:40Z,0.466666667,0.957237,2.051222143,0.208095,0.041619,faucet
33,2019-10-14T18:54:00Z,2019-10-14T18:54:56Z,1,2.08095,2.08095,0.124857,0.124857,toilet
