X1,StartTime,EndTime,Duration,OriginalVolume,OriginalFlowRate,Peak_Value,Mode_Value,Label
0,2019-08-22T10:49:54Z,2019-08-22T10:50:18Z,0.466666667,0.531136,1.138148571,0.066392,0.066392,faucet
1,2019-08-22T10:52:18Z,2019-08-22T10:52:42Z,0.466666667,1.128664,2.418565714,0.16598,0.16598,toilet
2,2019-08-22T10:53:06Z,2019-08-22T10:53:30Z,0.466666667,0.597528,1.280417143,0.066392,0.066392,faucet
3,2019-08-22T10:53:42Z,2019-08-22T10:54:10Z,0.533333333,1.128664,2.116245,0.132784,0.132784,faucet
4,2019-08-22T10:55:02Z,2019-08-22T10:58:22Z,3.4,1.858976,0.546757647,0.066392,0.033196,faucet
5,2019-08-22T10:58:30Z,2019-08-22T10:59:22Z,0.933333333,0.49794,0.533507143,0.033196,0.033196,faucet
6,2019-08-22T11:04:38Z,2019-08-22T11:04:42Z,0.133333333,0.132784,0.99588,0.066392,0.033196,faucet
7,2019-08-22T11:19:50Z,2019-08-22T11:19:58Z,0.2,0.099588,0.49794,0.033196,0.033196,faucet
8,2019-08-22T11:37:10Z,2019-08-22T11:37:14Z,0.133333333,0.16598,1.24485,0.066392,0.033196,faucet
9,2019-08-22T11:40:46Z,2019-08-22T11:41:46Z,1.066666667,3.551972,3.32997375,0.232372,0.232372,toilet
10,2019-08-22T12:36:18Z,2019-08-22T12:36:30Z,0.266666667,0.298764,1.120365,0.066392,0.033196,faucet
11,2019-08-22T12:37:30Z,2019-08-22T12:38:26Z,1,3.518776,3.518776,0.232372,0.232372,toilet
12,2019-08-22T13:34:58Z,2019-08-22T13:35:54Z,1,3.551972,3.551972,0.232372,0.232372,toilet
13,2019-08-22T13:39:50Z,2019-08-22T13:39:58Z,0.2,0.099588,0.49794,0.033196,0.033196,faucet
14,2019-08-22T13:41:26Z,2019-08-22T13:41:34Z,0.2,0.232372,1.16186,0.066392,0.066392,faucet
15,2019-08-22T13:51:06Z,2019-08-22T13:51:10Z,0.133333333,0.099588,0.74691,0.066392,0.033196,faucet
16,2019-08-22T13:51:30Z,2019-08-22T13:51:34Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet
17,2019-08-22T13:52:50Z,2019-08-22T13:52:54Z,0.133333333,0.199176,1.49382,0.066392,0.033196,faucet
18,2019-08-22T13:53:14Z,2019-08-22T13:53:18Z,0.133333333,0.099588,0.74691,0.033196,0.033196,faucet
19,2019-08-22T13:53:34Z,2019-08-22T13:53:42Z,0.2,0.16598,0.8299,0.099588,0.033196,faucet
20,2019-08-22T13:54:50Z,2019-08-22T13:55:10Z,0.4,0.49794,1.24485,0.066392,0.066392,faucet
21,2019-08-22T13:55:18Z,2019-08-22T13:56:18Z,1.066666667,1.261448,1.1826075,0.066392,0.066392,faucet
22,2019-08-22T18:03:14Z,2019-08-22T18:03:18Z,0.133333333,0.066392,0.49794,0.033196,0.033196,faucet
23,2019-08-22T18:05:30Z,2019-08-22T18:05:34Z,0.133333333,0.132784,0.99588,0.099588,0.033196,faucet
24,2019-08-22T18:10:14Z,2019-08-22T18:10:34Z,0.4,0.49794,1.24485,0.066392,0.066392,faucet
