X1,StartTime,EndTime,Duration,OriginalVolume,OriginalFlowRate,Peak_Value,Mode_Value,Label
0,2019-08-30T13:15:41Z,2019-08-30T13:16:01Z,0.4,0.763508,1.90877,0.132784,0.132784,faucet
1,2019-08-30T13:17:09Z,2019-08-30T13:17:13Z,0.133333333,0.132784,0.99588,0.099588,0.033196,faucet
2,2019-08-30T14:02:41Z,2019-08-30T14:03:13Z,0.6,1.195056,1.99176,0.132784,0.099588,faucet
3,2019-08-30T15:00:09Z,2019-08-30T15:04:29Z,4.4,26.258036,5.967735455,0.431548,0.398352,irrigation
4,2019-08-30T15:05:21Z,2019-08-30T15:06:25Z,1.133333333,6.47322,5.711664706,0.398352,0.398352,irrigation
5,2019-08-30T15:08:29Z,2019-08-30T15:08:53Z,0.466666667,0.8299,1.778357143,0.132784,0.099588,faucet
6,2019-08-30T15:11:09Z,2019-08-30T15:11:29Z,0.4,0.33196,0.8299,0.033196,0.033196,faucet
7,2019-08-30T15:13:13Z,2019-08-30T15:14:13Z,1.066666667,6.373632,5.97528,0.398352,0.398352,irrigation
8,2019-08-30T15:18:01Z,2019-08-30T15:18:53Z,0.933333333,5.244968,5.619608571,0.431548,0.365156,toilet
9,2019-08-30T16:06:57Z,2019-08-30T16:07:57Z,1.066666667,6.406828,6.00640125,0.431548,0.398352,irrigation
10,2019-08-30T16:29:29Z,2019-08-30T16:29:37Z,0.2,0.16598,0.8299,0.033196,0.033196,faucet
11,2019-08-30T16:30:29Z,2019-08-30T16:33:05Z,2.666666667,3.352796,1.2572985,0.099588,0.066392,faucet
12,2019-08-30T16:33:13Z,2019-08-30T16:33:25Z,0.266666667,0.33196,1.24485,0.066392,0.066392,faucet
13,2019-08-30T16:33:37Z,2019-08-30T16:37:45Z,4.2,8.697352,2.070798095,0.16598,0.16598,shower
14,2019-08-30T16:38:17Z,2019-08-30T16:41:25Z,3.2,12.913244,4.03538875,0.33196,0.33196,clotheswasher
15,2019-08-30T16:43:29Z,2019-08-30T16:44:21Z,0.933333333,1.593408,1.707222857,0.099588,0.099588,toilet
16,2019-08-30T16:44:33Z,2019-08-30T16:44:45Z,0.266666667,0.398352,1.49382,0.099588,0.099588,faucet
17,2019-08-30T16:46:09Z,2019-08-30T16:46:29Z,0.4,0.763508,1.90877,0.132784,0.099588,faucet
18,2019-08-30T20:23:09Z,2019-08-30T20:24:45Z,1.666666667,5.709712,3.4258272,0.232372,0.232372,toilet
19,2019-08-30T22:03:09Z,2019-08-30T22:05:29Z,2.4,8.531372,3.554738333,0.232372,0.199176,irrigation
20,2019-08-31T04:10:41Z,2019-08-31T04:12:17Z,1.666666667,5.776104,3.4656624,0.232372,0.232372,toilet
21,2019-08-31T04:41:37Z,2019-08-31T04:43:13Z,1.666666667,6.074868,3.6449208,0.265568,0.232372,irrigation
22,2019-08-31T04:44:25Z,2019-08-31T04:44:33Z,0.2,0.298764,1.49382,0.099588,0.033196,faucet
23,2019-08-31T04:45:29Z,2019-08-31T04:45:45Z,0.333333333,0.49794,1.49382,0.099588,0.066392,faucet
24,2019-08-31T08:55:09Z,2019-08-31T08:55:25Z,0.333333333,0.531136,1.593408,0.099588,0.066392,faucet
25,2019-08-31T09:00:49Z,2019-08-31T09:00:53Z,0.133333333,0.265568,1.99176,0.099588,0.033196,faucet
26,2019-08-31T09:17:37Z,2019-08-31T09:17:53Z,0.333333333,0.597528,1.792584,0.099588,0.099588,faucet
27,2019-08-31T09:20:05Z,2019-08-31T09:20:17Z,0.266666667,0.531136,1.99176,0.132784,0.099588,faucet
28,2019-08-31T09:24:13Z,2019-08-31T09:25:49Z,1.666666667,6.240848,3.7445088,0.298764,0.232372,irrigation
29,2019-08-31T09:40:45Z,2019-08-31T09:42:17Z,1.6,6.506416,4.06651,0.365156,0.232372,irrigation
30,2019-08-31T09:43:53Z,2019-08-31T09:46:37Z,2.8,10.224368,3.65156,0.365156,0.232372,clotheswasher
31,2019-08-31T09:49:25Z,2019-08-31T09:51:01Z,1.666666667,6.373632,3.8241792,0.298764,0.232372,irrigation
32,2019-08-31T09:52:57Z,2019-08-31T09:54:57Z,2.066666667,6.47322,3.132203226,0.265568,0.232372,irrigation
33,2019-08-31T10:27:01Z,2019-08-31T10:27:09Z,0.2,0.199176,0.99588,0.066392,0.033196,faucet
34,2019-08-31T10:27:29Z,2019-08-31T10:27:37Z,0.2,0.232372,1.16186,0.066392,0.066392,faucet
35,2019-08-31T10:27:53Z,2019-08-31T10:27:57Z,0.133333333,0.132784,0.99588,0.066392,0.033196,faucet
36,2019-08-31T10:28:05Z,2019-08-31T10:28:09Z,0.133333333,0.099588,0.74691,0.033196,0.033196,faucet
37,2019-08-31T10:29:09Z,2019-08-31T10:29:17Z,0.2,1.128664,5.64332,0.33196,0.16598,irrigation
38,2019-08-31T10:47:09Z,2019-08-31T10:50:17Z,3.2,17.660272,5.518835,0.365156,0.365156,clotheswasher
39,2019-08-31T10:56:21Z,2019-08-31T10:56:49Z,0.533333333,2.755268,5.1661275,0.365156,0.365156,toilet
40,2019-08-31T11:22:41Z,2019-08-31T11:22:49Z,0.2,0.232372,1.16186,0.066392,0.066392,faucet
41,2019-08-31T11:23:57Z,2019-08-31T11:24:01Z,0.133333333,0.199176,1.49382,0.066392,0.033196,faucet
42,2019-08-31T11:26:13Z,2019-08-31T11:26:21Z,0.2,0.132784,0.66392,0.033196,0.033196,faucet
43,2019-08-31T11:51:05Z,2019-08-31T11:51:09Z,0.133333333,0.16598,1.24485,0.066392,0.033196,faucet
44,2019-08-31T12:56:17Z,2019-08-31T12:56:21Z,0.133333333,0.199176,1.49382,0.066392,0.033196,faucet
45,2019-08-31T13:08:49Z,2019-08-31T13:08:53Z,0.133333333,0.132784,0.99588,0.066392,0.033196,faucet
46,2019-08-31T13:28:13Z,2019-08-31T13:29:17Z,1.133333333,5.278164,4.657203529,0.398352,0.365156,toilet
47,2019-08-31T13:30:21Z,2019-08-31T13:30:25Z,0.133333333,0.16598,1.24485,0.066392,0.033196,faucet
48,2019-08-31T13:31:01Z,2019-08-31T13:31:17Z,0.333333333,0.531136,1.593408,0.099588,0.066392,faucet
49,2019-08-31T13:42:05Z,2019-08-31T13:42:09Z,0.133333333,0.099588,0.74691,0.033196,0.033196,faucet
50,2019-08-31T14:34:17Z,2019-08-31T14:35:09Z,0.933333333,4.913008,5.263937143,0.365156,0.365156,toilet
51,2019-08-31T14:39:17Z,2019-08-31T14:39:29Z,0.266666667,0.431548,1.618305,0.099588,0.099588,faucet
52,2019-08-31T14:39:41Z,2019-08-31T14:39:49Z,0.2,0.265568,1.32784,0.066392,0.066392,faucet
53,2019-08-31T15:16:05Z,2019-08-31T15:17:13Z,1.2,3.385992,2.82166,0.265568,0.232372,toilet
54,2019-08-31T15:17:21Z,2019-08-31T15:18:05Z,0.8,1.029076,1.286345,0.066392,0.066392,faucet
55,2019-08-31T15:19:53Z,2019-08-31T15:21:37Z,1.8,2.98764,1.6598,0.232372,0.066392,faucet
56,2019-08-31T15:29:33Z,2019-08-31T15:29:57Z,0.466666667,0.962684,2.062894286,0.132784,0.132784,faucet
57,2019-08-31T15:30:49Z,2019-08-31T15:31:41Z,0.933333333,5.211772,5.584041429,0.464744,0.365156,toilet
58,2019-08-31T15:33:45Z,2019-08-31T15:35:21Z,1.666666667,5.908888,3.5453328,0.265568,0.232372,toilet
