X1,StartTime,EndTime,Duration,OriginalVolume,OriginalFlowRate,Peak_Value,Mode_Value,Label
0,2019-04-01T14:44:15Z,2019-04-01T14:44:23Z,0.2,0.431548,2.15774,0.099588,0.099588,faucet
1,2019-04-01T15:35:35Z,2019-04-01T15:36:23Z,0.866666667,1.626604,1.876850769,0.132784,0.099588,toilet
2,2019-04-01T15:44:11Z,2019-04-01T15:46:43Z,2.6,5.676516,2.183275385,0.199176,0.132784,shower
3,2019-04-01T15:46:59Z,2019-04-01T15:47:15Z,0.333333333,0.929488,2.788464,0.16598,0.132784,faucet
4,2019-04-01T15:47:55Z,2019-04-01T15:47:55Z,0.066666667,0.066392,0.99588,0.066392,0.066392,faucet
5,2019-04-01T15:55:19Z,2019-04-01T15:55:23Z,0.133333333,0.298764,2.24073,0.066392,0.033196,faucet
6,2019-04-01T15:56:59Z,2019-04-01T15:57:19Z,0.4,0.730312,1.82578,0.132784,0.066392,faucet
7,2019-04-01T17:46:19Z,2019-04-01T17:47:07Z,0.866666667,2.290524,2.642912308,0.199176,0.16598,toilet
8,2019-04-01T18:38:51Z,2019-04-01T18:39:31Z,0.733333333,1.560212,2.127561818,0.16598,0.132784,toilet
9,2019-04-01T18:39:55Z,2019-04-01T18:40:19Z,0.466666667,0.730312,1.564954286,0.099588,0.066392,faucet
10,2019-04-01T18:40:43Z,2019-04-01T18:41:03Z,0.4,0.730312,1.82578,0.132784,0.099588,faucet
11,2019-04-01T18:41:31Z,2019-04-01T18:41:43Z,0.266666667,0.564332,2.116245,0.099588,0.099588,faucet
12,2019-04-01T18:43:11Z,2019-04-01T18:43:15Z,0.133333333,0.298764,2.24073,0.099588,0.033196,faucet
13,2019-04-01T18:43:43Z,2019-04-01T18:43:43Z,0.066666667,0.265568,3.98352,0.066392,0.066392,irrigation
14,2019-04-01T18:46:15Z,2019-04-01T18:47:15Z,1.066666667,2.755268,2.58306375,0.199176,0.199176,toilet
15,2019-04-01T19:40:35Z,2019-04-01T19:40:55Z,0.4,0.730312,1.82578,0.099588,0.099588,faucet
16,2019-04-01T19:41:03Z,2019-04-01T19:41:11Z,0.2,0.365156,1.82578,0.099588,0.033196,faucet
